N	2gram	Tiupa_Lite_2	Morfolog
1	может быть	17	52
2	и т	2	49
3	представляет собой	2	17
4	не может	9	17
5	могут быть	2	15
6	и в	19	13
7	в этом	9	13
8	и др	3	12
9	так как	3	12
10	прежде всего	4	9
11	этом случае	2	9
12	так и	7	9
13	то же	12	9
14	и не	11	9
15	а не	20	9
16	с другой	8	8
17	а затем	2	8
18	по существу	3	8
19	что и	2	8
20	в результате	2	8
21	в качестве	5	7
22	все же	2	7
23	в том	10	6
24	но не	5	6
25	а также	2	6
26	а в	3	6
27	подобно тому	2	6
28	не менее	6	5
29	тому как	2	5
30	во всех	3	5
31	как бы	2	5
32	один из	4	5
33	то что	7	5
34	потому что	2	5
35	мы не	4	5
36	что в	4	4
37	и как	3	4
38	вовсе не	2	4
39	героя в	2	4
40	тем не	2	4
41	отношению к	3	4
42	было бы	2	4
43	не только	8	4
44	другой стороны	4	4
45	по отношению	4	4
46	как и	10	4
47	тем что	4	4
48	точки зрения	4	4
49	с точки	3	4
50	на этом	2	4
51	если в	2	4
52	а если	2	4
53	ничего не	3	4
54	в нашем	2	3
55	в начале	3	3
56	в какой	2	3
57	в бою	2	3
58	же в	2	3
59	том что	7	3
60	но это	3	3
61	в целом	2	3
62	в сущности	3	3
63	он не	5	3
64	не является	2	3
65	но и	10	3
66	из которых	2	3
67	и для	3	3
68	друг друга	2	3
69	из них	2	3
70	в то	9	3
71	но в	2	3
72	с тем	2	2
73	в частности	4	2
74	однако в	6	2
75	и за	2	2
76	хотя бы	2	2
77	состоит в	9	2
78	как уже	2	2
79	что он	3	2
80	и к	2	2
81	путь к	2	2
82	не с	3	2
83	то в	2	2
84	для него	4	2
85	одной стороны	6	2
86	одной из	2	2
87	себя и	2	2
88	себя в	6	2
89	то как	2	2
90	и только	2	2
91	с одной	7	2
92	и что	2	2
93	того что	5	2
94	для того	2	2
95	уже не	2	2
96	тем же	3	2
97	и иных	2	2
98	право на	3	2
99	и его	3	2
100	в другом	3	2
101	не знает	2	2
102	о том	2	2
103	в свое	2	2
104	одна из	5	2
105	как это	2	2
