N	2gram	Nazirov_Tv_2	VrazhdaK
1	в году	16	18
2	у тургенева	2	11
3	в бесах	6	10
4	достоевского с	5	9
5	не только	13	9
6	достоевский в	7	8
7	в этом	8	8
8	и что	2	8
9	и в	20	8
10	года в	7	7
11	достоевского в	9	7
12	но и	8	7
13	что в	7	7
14	достоевского и	2	7
15	то что	3	7
16	в котором	3	6
17	в нем	3	6
18	все же	5	6
19	и даже	5	6
20	в романе	15	6
21	как и	6	6
22	в начале	3	6
23	но в	4	6
24	и с	8	6
25	то же	7	5
26	не было	2	5
27	г а	3	5
28	и не	9	5
29	у него	6	5
30	об этом	4	5
31	между тем	3	5
32	в то	10	5
33	же время	7	5
34	в россии	2	5
35	во многом	2	4
36	уже в	2	4
37	у достоевского	30	4
38	как бы	11	4
39	подпольного человека	3	4
40	все это	6	4
41	это не	7	4
42	достоевского не	8	4
43	что он	6	4
44	что достоевский	3	4
45	в дневнике	3	4
46	так же	5	4
47	с ним	3	4
48	х годов	3	4
49	в своих	3	4
50	может быть	8	4
51	при этом	8	4
52	тургенев в	2	4
53	в истории	2	4
54	о том	5	4
55	в этот	2	3
56	я не	2	3
57	в петербург	2	3
58	года достоевский	3	3
59	давно уже	2	3
60	что у	4	3
61	апреля года	3	3
62	в конце	6	3
63	к этому	3	3
64	человека в	3	3
65	и у	2	3
66	в том	8	3
67	и его	9	3
68	достоевского к	2	3
69	том что	4	3
70	в черновиках	4	3
71	тем что	3	3
72	достоевский не	5	3
73	марта года	4	3
74	в его	10	3
75	в русской	2	3
76	его в	3	3
77	из подполья	6	3
78	наряду с	7	3
79	года он	3	3
80	в чем	4	3
81	одним из	3	3
82	он не	3	3
83	по нашему	4	3
84	место в	3	2
85	а с	3	2
86	о достоевском	2	2
87	он сам	3	2
88	с князем	2	2
89	тургенева что	2	2
90	в своей	6	2
91	в честь	2	2
92	и это	3	2
93	в роман	2	2
94	из них	2	2
95	не менее	2	2
96	никогда не	11	2
97	вместе с	3	2
98	отнюдь не	4	2
99	его и	2	2
100	и наказания	2	2
101	так в	2	2
102	и далее	2	2
103	и достоевский	4	2
104	не может	7	2
105	по мнению	3	2
106	а в	4	2
107	тогда как	3	2
108	таким образом	10	2
109	он писал	2	2
110	начиная с	2	2
111	рядом с	2	2
112	но это	5	2
113	там же	9	2
114	уже не	3	2
115	и он	2	2
116	роман достоевского	3	2
117	же не	2	2
118	в этой	5	2
119	что я	2	2
120	же как	3	2
121	их в	2	2
122	права на	2	2
123	а н	2	2
124	и ее	2	2
125	в себе	3	2
126	для него	3	2
127	еще не	5	2
128	в письмах	3	2
129	м м	11	2
130	при помощи	2	2
131	в мире	5	2
132	одна из	3	2
133	записки из	2	2
134	том же	2	2
135	достоевский писал	2	2
