N	2gram	Medvedev_F_2	Otkroven
1	и в	38	19
2	но и	13	13
3	и не	20	13
4	в этом	27	12
5	а не	6	11
6	не в	15	11
7	может быть	23	11
8	не только	9	11
9	и все	3	10
10	в нем	13	10
11	никогда не	2	9
12	не было	6	9
13	потому что	2	9
14	прежде всего	15	9
15	он был	2	8
16	лишь в	7	7
17	до конца	2	7
18	от него	2	7
19	он не	6	7
20	в его	10	7
21	все это	3	6
22	как и	9	6
23	то что	6	5
24	а в	6	5
25	отношение к	2	5
26	в том	11	5
27	для него	7	5
28	в этой	6	5
29	в самом	16	5
30	с его	11	4
31	т е	26	4
32	только и	3	4
33	того чтобы	3	4
34	что не	4	4
35	есть лишь	2	4
36	и его	21	4
37	все эти	6	4
38	не может	14	4
39	что в	7	4
40	к нему	3	3
41	не могут	7	3
42	в этих	2	3
43	это не	2	3
44	что он	5	3
45	того что	3	3
46	для того	3	3
47	хотя бы	6	3
48	и от	2	3
49	могут быть	6	3
50	и ее	6	3
51	было бы	6	3
52	с ним	2	3
53	как бы	4	3
54	это было	3	3
55	подойти к	2	2
56	уже в	2	2
57	все же	8	2
58	что и	8	2
59	не есть	3	2
60	ее в	2	2
61	он в	2	2
62	и для	5	2
63	с тем	11	2
64	в единстве	2	2
65	в истории	6	2
66	всего в	2	2
67	так и	8	2
68	что же	5	2
69	как к	3	2
70	к этому	4	2
71	по себе	7	2
72	же это	2	2
73	и к	4	2
74	не имеет	2	2
75	должно быть	2	2
76	в ее	2	2
77	его не	2	2
78	в которой	2	2
79	в других	7	2
80	что для	2	2
81	том что	2	2
82	и на	3	2
83	и то	2	2
84	из всего	3	2
85	что они	4	2
86	сказать что	2	2
87	и с	9	2
88	совсем не	2	2
89	тем что	8	2
90	даже и	4	2
91	его в	3	2
92	должен был	2	2
93	в своей	7	2
94	так как	4	2
95	и этим	2	2
96	и о	2	2
97	ничего не	4	2
98	не могли	2	2
99	хотя и	3	2
100	но в	4	2
