N	2gram	Bakhtin_sl_2	Tragedij
1	и в	39	18
2	в романе	46	10
3	в этом	16	9
4	не только	24	8
5	и не	22	7
6	и на	4	7
7	и с	9	7
8	может быть	37	7
9	как бы	7	7
10	что он	2	6
11	и его	33	6
12	же время	4	6
13	у него	3	6
14	но в	6	6
15	все же	6	5
16	так и	15	5
17	это не	5	5
18	не может	20	5
19	то же	4	5
20	в дальнейшем	2	5
21	как и	6	5
22	в то	4	5
23	это очень	2	5
24	но и	21	4
25	то что	2	4
26	что в	3	4
27	все это	16	4
28	прежде всего	8	4
29	и все	5	4
30	в нем	19	4
31	и даже	7	4
32	том что	5	4
33	но это	3	4
34	в себе	2	4
35	еще не	7	4
36	уже в	2	3
37	один из	5	3
38	с ее	2	3
39	в своем	6	3
40	романа и	5	3
41	как в	13	3
42	все эти	6	3
43	и как	3	3
44	к нему	3	3
45	в основном	4	3
46	в его	7	3
47	для него	7	3
48	при этом	7	3
49	как это	3	3
50	с ним	7	3
51	то есть	26	3
52	перед нами	3	2
53	не могут	5	2
54	не был	2	2
55	что и	3	2
56	в отличие	12	2
57	но эта	2	2
58	уже не	5	2
59	бы и	3	2
60	с его	7	2
61	отношение к	4	2
62	даже на	3	2
63	по замыслу	2	2
64	и здесь	2	2
65	ни в	4	2
66	в том	5	2
67	до конца	17	2
68	отличие от	13	2
69	но все	5	2
70	в таком	4	2
71	не в	9	2
72	в данном	2	2
73	одна из	4	2
74	в виде	2	2
75	только о	2	2
76	еще раз	3	2
77	о том	2	2
78	его в	4	2
79	он не	2	2
80	в одном	2	2
81	никогда не	7	2
