N	3gram	Medvedev_F_3	KulturaY
1	и т п	5	24
2	и т д	6	14
3	в том что	3	10
4	с точки зрения	14	8
5	для того чтобы	4	8
6	с другой стороны	5	7
7	в самом деле	4	7
8	во всяком случае	6	5
9	в этом смысле	2	5
10	тем не менее	2	5
11	в зависимости от	5	4
12	не может быть	14	4
13	в этом отношении	3	3
14	в связи с	4	3
15	в то же	7	3
16	то же время	7	3
17	в конце концов	2	3
18	в отличие от	2	2
19	может быть только	2	2
20	то или иное	2	2
21	т п в	2	2
22	дело не в	2	2
23	вместе с тем	3	2
24	на самом деле	12	2
25	потому что он	3	2
