N	2gram	Tiupa_Teor_1	Komedia
1	и в	18	26
2	и не	13	14
3	к тому	2	12
4	так и	10	12
5	и его	8	12
6	в том	16	11
7	может быть	17	11
8	но и	9	10
9	в этом	8	10
10	что в	9	9
11	столь же	2	9
12	том что	9	9
13	если бы	3	9
14	вместе с	2	9
15	не только	16	7
16	что и	2	7
17	на себя	2	7
18	в своем	4	6
19	то что	3	6
20	еще не	4	6
21	в нем	4	6
22	потому что	3	6
23	и здесь	2	6
24	в то	6	6
25	таким образом	3	6
26	с его	5	5
27	в которой	2	5
28	в качестве	24	5
29	один из	2	5
30	ни в	2	5
31	место в	5	4
32	не менее	4	4
33	в частности	16	4
34	в этих	3	4
35	тому что	2	4
36	в них	2	4
37	прежде всего	2	4
38	из этих	3	4
39	как и	4	4
40	в целом	3	4
41	как будто	2	4
42	с их	2	4
43	одной из	2	4
44	хотя и	3	4
45	в его	6	4
46	в самом	4	4
47	и для	2	4
48	точки зрения	9	4
49	только в	6	4
50	как это	8	4
51	его в	2	4
52	между тем	5	4
53	это было	2	4
54	том числе	2	3
55	так или	4	3
56	отношению к	4	3
57	но не	9	3
58	того же	3	3
59	же время	5	3
60	со своей	3	3
61	никто не	2	3
62	как правило	4	3
63	и особенно	2	3
64	себя в	6	3
65	в своей	6	3
66	в их	2	3
67	все это	2	3
68	по отношению	4	3
69	то же	7	3
70	как в	5	3
71	в самой	2	3
72	а в	13	3
73	или в	3	3
74	или иначе	5	3
75	не может	4	3
76	в этой	3	3
77	могла бы	2	3
78	но в	9	3
79	если в	2	2
80	и другие	2	2
81	отнюдь не	3	2
82	однако в	7	2
83	в нашем	4	2
84	в какой	2	2
85	с другой	7	2
86	это не	2	2
87	нового времени	3	2
88	в конце	2	2
89	в одном	2	2
90	этом смысле	2	2
91	вовсе не	3	2
92	и к	3	2
93	об этом	2	2
94	в ее	5	2
95	не в	7	2
96	по своему	2	2
97	перед лицом	2	2
98	а на	3	2
99	одной стороны	2	2
100	вслед за	2	2
101	одним из	2	2
102	он не	3	2
103	как бы	5	2
104	не вполне	2	2
105	чем это	2	2
106	даже в	3	2
107	не является	4	2
108	и это	2	2
109	в мире	19	2
110	отношение к	5	2
111	со стороны	2	2
112	что она	2	2
113	в отличие	6	2
114	так в	4	2
115	с одной	2	2
116	в той	2	2
117	и что	3	2
118	самом начале	2	2
119	в принципе	4	2
120	времени в	2	2
121	отличие от	6	2
122	роль в	2	2
123	не следует	4	2
124	имеет в	2	2
125	и ее	3	2
126	к его	2	2
127	говорить о	3	2
128	в первом	2	2
129	мы имеем	7	2
130	в состав	6	2
131	в виду	5	2
