N	2gram	Medvedev_U_1	Myslijsy
1	то что	7	29
2	может быть	6	26
3	таким образом	2	24
4	в том	2	23
5	и в	14	23
6	в этом	7	23
7	и не	8	18
8	только в	2	15
9	как и	3	14
10	в себе	2	14
11	то же	5	14
12	если бы	2	13
13	том что	2	12
14	а не	10	12
15	по себе	2	11
16	но и	4	11
17	не в	2	11
18	не может	7	11
19	что мы	2	10
20	не только	10	10
21	тем что	2	10
22	не есть	2	9
23	между тем	2	9
24	было бы	3	8
25	мы не	2	8
26	но в	3	8
27	это не	3	7
28	что и	2	7
29	очевидно что	3	7
30	могут быть	2	7
31	что такое	4	7
32	по крайней	2	5
33	для него	3	5
34	в его	2	5
35	крайней мере	2	5
36	бы и	2	5
37	все это	5	5
38	и то	3	5
39	что все	2	4
40	что он	2	4
41	до сих	2	4
42	сих пор	2	4
43	хотя бы	5	4
44	в то	3	4
45	же самое	2	4
46	могли бы	2	4
47	а между	2	4
48	и с	2	4
49	формы в	3	3
50	но это	2	3
51	же время	3	3
52	в самом	2	3
53	и только	5	3
54	самом деле	2	3
55	более чем	2	3
56	даже и	2	3
57	в искусстве	6	3
58	не могут	2	2
59	но даже	2	2
60	превращается в	2	2
61	с другой	4	2
62	не как	3	2
63	а как	2	2
64	тем менее	2	2
65	у нас	3	2
66	мы и	2	2
67	нам представляется	2	2
68	конечно не	4	2
69	что она	2	2
70	художественное произведение	5	2
71	и для	2	2
72	и у	2	2
73	нас в	2	2
74	не следует	3	2
75	в области	3	2
76	это было	2	2
