N	2gram	Bakhtin_Fr_2	Problema
1	то есть	32	46
2	в его	18	43
3	и не	15	42
4	и в	49	38
5	не может	7	27
6	может быть	5	26
7	как бы	11	22
8	в художественном	2	20
9	и с	6	17
10	и его	17	16
11	в нем	9	15
12	в этом	15	15
13	прежде всего	19	13
14	только в	13	13
15	за пределы	2	12
16	но не	5	12
17	ни в	3	11
18	во всех	6	11
19	в области	4	11
20	к нему	3	10
21	отношение к	8	10
22	в их	2	10
23	таким образом	7	10
24	но и	13	9
25	не только	17	9
26	место в	3	8
27	в том	3	8
28	и др	9	8
29	точки зрения	6	8
30	было бы	3	8
31	то что	6	8
32	что в	2	7
33	и становится	2	7
34	с другой	4	7
35	в самом	3	7
36	как и	11	7
37	еще не	2	7
38	совершенно не	2	7
39	в своей	5	7
40	как мы	7	7
41	в плане	3	7
42	в пределах	2	6
43	а в	4	6
44	на основе	2	6
45	все же	7	6
46	с точки	5	6
47	мы можем	2	6
48	там где	4	6
49	отношения к	4	6
50	ничего не	2	6
51	то же	7	5
52	в своем	5	5
53	при этом	5	5
54	никогда не	5	5
55	все эти	7	5
56	рядом с	6	5
57	далеко не	3	5
58	с ним	4	5
59	в них	13	5
60	его целом	3	5
61	и о	4	5
62	так и	6	5
63	и прежде	2	5
64	могут быть	2	5
65	в нашем	2	4
66	на самом	2	4
67	лишь как	2	4
68	в ней	2	4
69	в виду	3	4
70	другой стороны	3	4
71	в форме	4	4
72	сказать что	6	4
73	в то	6	4
74	о том	3	4
75	в произведении	2	4
76	и потому	5	4
77	но в	4	4
78	но они	3	4
79	перестает быть	2	4
80	в ее	3	4
81	относится к	5	4
82	в романе	9	4
83	мы здесь	2	4
84	можно было	3	4
85	в себе	4	4
86	здесь не	2	4
87	на материале	2	3
88	вследствие этого	2	3
89	в тех	2	3
90	да и	3	3
91	в известной	4	3
92	в дальнейшем	2	3
93	но это	2	3
94	же время	6	3
95	одной стороны	3	3
96	несмотря на	3	3
97	хотя и	2	3
98	точка зрения	3	3
99	все это	9	3
100	с одной	3	3
101	и даже	2	3
102	и на	17	3
103	также и	3	3
104	природу и	2	3
105	и все	3	3
106	но здесь	3	3
107	на фоне	2	3
108	и к	4	3
109	том что	4	3
110	все что	2	3
111	со всеми	2	3
112	одной из	2	3
113	связь с	3	3
114	культуры и	3	3
115	в мире	2	3
116	менее всего	3	3
117	и это	3	3
118	человек в	2	2
119	и другие	2	2
120	в этих	4	2
121	для понимания	2	2
122	на то	2	2
123	здесь же	2	2
124	можно сказать	2	2
125	связаны с	2	2
126	в значительной	3	2
127	не дает	3	2
128	по поводу	2	2
129	события и	2	2
130	в эстетике	2	2
131	и значение	2	2
132	другими словами	3	2
133	как к	2	2
134	в связи	2	2
135	в особенности	5	2
136	особенно в	2	2
137	не было	4	2
138	этом отношении	3	2
139	и других	3	2
140	форм и	2	2
141	в самой	2	2
142	лишь в	4	2
143	дает нам	2	2
144	в своих	4	2
145	нуждается в	2	2
146	в начале	5	2
147	во всем	3	2
148	в истории	6	2
149	мы должны	2	2
150	в него	2	2
151	с его	5	2
152	и более	4	2
153	и во	4	2
154	вовсе не	10	2
155	что он	3	2
156	по существу	2	2
157	этот момент	4	2
158	связи с	2	2
159	одна из	4	2
160	здесь в	6	2
161	не во	2	2
162	в себя	6	2
163	того чтобы	2	2
164	и эта	2	2
165	на мир	2	2
166	тем что	4	2
167	в другом	2	2
168	и вообще	3	2
