N	2gram	Vinokur_St_2	slovoVRo
1	в романе	4	46
2	и в	29	39
3	может быть	2	37
4	и т	9	35
5	и его	6	33
6	т п	3	33
7	не только	19	24
8	и не	9	22
9	но и	19	21
10	не может	2	20
11	в нем	4	19
12	до конца	3	17
13	все это	11	16
14	в этом	21	16
15	так и	9	15
16	а не	5	14
17	как в	3	13
18	отличие от	2	13
19	в процессе	2	13
20	литературного языка	2	12
21	в отличие	2	12
22	в истории	2	11
23	художественного изображения	2	11
24	вовсе не	6	10
25	к своему	2	9
26	не в	4	9
27	и с	4	9
28	прежде всего	5	8
29	оно не	3	8
30	таким образом	10	8
31	точки зрения	5	8
32	с его	2	7
33	при этом	2	7
34	для него	4	7
35	в его	13	7
36	как бы	5	7
37	никогда не	3	7
38	в этих	3	7
39	и потому	2	7
40	и даже	3	7
41	в них	2	6
42	и к	4	6
43	все же	6	6
44	как и	2	6
45	в своем	9	6
46	языка в	2	6
47	но не	3	6
48	значительной степени	2	6
49	там где	2	6
50	в значительной	2	6
51	все эти	2	6
52	но в	8	6
53	с другой	4	5
54	по себе	3	5
55	том что	27	5
56	но все	7	5
57	только в	2	5
58	в том	27	5
59	например в	3	5
60	не менее	3	4
61	борьба с	2	4
62	и др	2	4
63	ни в	3	4
64	наконец в	3	4
65	на почве	2	4
66	в отношении	2	4
67	его не	3	4
68	то же	2	4
69	в той	5	4
70	и на	6	4
71	xix века	3	4
72	в то	2	4
73	отношении к	3	4
74	его в	2	4
75	так как	2	4
76	борьбы с	3	3
77	в роман	2	3
78	что в	19	3
79	хотя бы	3	3
80	не столько	7	3
81	отметить что	2	3
82	что и	2	3
83	но это	3	3
84	связи с	4	3
85	и как	2	3
86	в ней	7	3
87	в некоторых	2	3
88	этом отношении	9	3
89	не приходится	4	3
90	а также	2	3
91	с точки	2	3
92	связан с	3	3
93	сказать что	2	3
94	между тем	5	3
95	в особенности	2	3
96	как это	2	3
97	в чисто	2	3
98	во всяком	3	3
99	действующих лиц	4	2
100	в данном	2	2
101	не был	3	2
102	не было	3	2
103	и более	2	2
104	и другие	2	2
105	хотя и	4	2
106	борьбу с	2	2
107	но он	3	2
108	того как	7	2
109	тот факт	4	2
110	как например	2	2
111	конечно в	2	2
112	только о	2	2
113	материал для	3	2
114	в себе	2	2
115	и здесь	3	2
116	что он	13	2
117	более или	2	2
118	роман на	2	2
119	всяком случае	3	2
120	даже в	2	2
121	сих пор	5	2
122	из романа	2	2
123	на его	2	2
124	то что	11	2
125	дело в	4	2
126	его как	2	2
127	вместе с	7	2
128	подчеркнуть что	3	2
129	или менее	2	2
130	и речи	2	2
131	в их	3	2
132	кроме того	4	2
133	в языке	5	2
134	далее в	2	2
135	с этим	3	2
136	т д	6	2
137	особенно в	2	2
138	именно в	4	2
139	еще более	4	2
140	они не	2	2
141	того чтобы	6	2
142	для того	7	2
143	одним из	6	2
144	исторического романа	2	2
145	конечно и	2	2
146	также и	2	2
147	в результате	2	2
148	он не	9	2
149	эти слова	2	2
150	в другом	4	2
151	факт что	6	2
152	о том	17	2
153	как он	2	2
154	почти все	2	2
155	только с	2	2
156	в области	2	2
157	это очень	2	2
158	в одном	6	2
159	до сих	6	2
