N	2gram	Tiupa_Hudo_2	Morfolog
1	может быть	8	52
2	и т	4	49
3	т д	2	47
4	не может	4	17
5	т е	2	16
6	в этих	3	16
7	и в	28	13
8	в этом	13	13
9	перед нами	11	11
10	прежде всего	3	9
11	так и	8	9
12	то же	6	9
13	и не	18	9
14	а не	14	9
15	с другой	3	8
16	что и	4	8
17	в качестве	4	7
18	все же	2	7
19	это не	6	6
20	в том	15	6
21	но не	4	6
22	а также	2	6
23	а в	6	6
24	подобно тому	4	6
25	не менее	5	5
26	тому как	4	5
27	и другие	5	5
28	наряду с	5	5
29	вслед за	4	5
30	как бы	5	5
31	не все	3	5
32	один из	2	5
33	то что	6	5
34	или в	3	5
35	потому что	2	5
36	что в	5	4
37	вовсе не	2	4
38	об этом	7	4
39	тем не	4	4
40	отношению к	7	4
41	было бы	3	4
42	несмотря на	3	4
43	не только	11	4
44	как в	5	4
45	как мы	2	4
46	так же	3	4
47	по отношению	7	4
48	как и	11	4
49	следующим образом	3	4
50	тем что	6	4
51	точки зрения	2	4
52	с точки	2	4
53	могла бы	2	4
54	на этом	2	4
55	его в	2	4
56	если в	2	4
57	ничего не	5	4
58	в других	4	4
59	сам он	2	3
60	прежде чем	2	3
61	если бы	6	3
62	это уже	2	3
63	в нашем	2	3
64	с собой	2	3
65	том что	19	3
66	что они	4	3
67	ее по	2	3
68	того чтобы	4	3
69	во втором	2	3
70	он не	4	3
71	не является	2	3
72	в первом	2	3
73	но и	9	3
74	на него	3	3
75	самом деле	3	3
76	к нему	3	3
77	и для	2	3
78	а по	2	3
79	из них	2	3
80	и ее	3	3
81	в то	6	3
82	с того	2	3
83	героя и	3	3
84	но в	2	3
85	в виде	2	2
86	в частности	7	2
87	однако в	2	2
88	его и	2	2
89	хотя бы	2	2
90	та же	2	2
91	состоит в	7	2
92	как уже	2	2
93	что он	8	2
94	можно сказать	6	2
95	и к	2	2
96	не с	2	2
97	то в	4	2
98	только в	4	2
99	они и	2	2
100	нельзя было	2	2
101	есть и	3	2
102	идет по	2	2
103	для него	5	2
104	одной стороны	3	2
105	у нее	10	2
106	одной из	3	2
107	мы уже	3	2
108	во сне	3	2
109	себя и	2	2
110	оно не	2	2
111	себя в	8	2
112	и тогда	2	2
113	и только	2	2
114	а с	3	2
115	с одной	3	2
116	к себе	3	2
117	для того	4	2
118	уже не	10	2
119	и его	5	2
120	можно было	3	2
121	в другом	2	2
122	о том	12	2
123	здесь не	2	2
124	одна из	2	2
125	сказать что	2	2
126	как это	7	2
127	это было	2	2
