N	2gram	Voloshinov_1	VelikijI
1	и не	4	20
2	и в	16	16
3	то что	3	9
4	так как	4	9
5	еще не	5	8
6	и потому	3	7
7	не есть	2	6
8	как бы	5	5
9	но и	4	5
10	все это	4	5
11	и есть	3	4
12	что он	2	4
13	в нем	4	4
14	как и	2	4
15	все что	4	4
16	что мы	2	4
17	так и	4	4
18	что не	2	4
19	в этом	9	4
20	говорить о	2	4
21	и все	4	4
22	в его	4	4
23	с его	7	3
24	что в	3	3
25	в этих	3	3
26	в них	2	3
27	в жизни	2	3
28	ни в	5	3
29	в том	3	3
30	но это	2	3
31	и мы	2	3
32	во всех	3	3
33	никогда не	2	3
34	этих трех	2	3
35	оно не	2	3
36	что и	2	3
37	жизни и	3	3
38	как не	2	3
39	в своей	2	3
40	хотя бы	4	3
41	и для	2	3
42	их в	3	3
43	все эти	5	3
44	в чем	5	3
45	но в	4	3
46	и теперь	3	2
47	не могут	2	2
48	прежде всего	9	2
49	на этих	2	2
50	для нас	2	2
51	том что	3	2
52	конечно не	6	2
53	для него	6	2
54	не только	7	2
55	нет и	2	2
56	один из	2	2
57	но мы	4	2
58	не будет	2	2
59	нем нет	2	2
60	ее в	2	2
61	мы не	2	2
62	а в	3	2
63	с ним	2	2
64	могут быть	3	2
65	только в	4	2
66	и это	6	2
67	во всяком	3	2
