N	2gram	Medvedev_F_3	Poddanst
1	не только	9	17
2	и в	27	14
3	и не	30	12
4	в области	2	11
5	в отношении	2	10
6	в этом	18	10
7	то же	15	9
8	в том	7	9
9	но в	6	9
10	хотя бы	6	8
11	в пределах	8	8
12	же время	7	7
13	в то	7	7
14	только в	8	7
15	е с	2	6
16	но и	10	6
17	в ней	5	6
18	в смысле	4	6
19	было бы	6	6
20	с другой	6	5
21	не в	12	5
22	в которых	3	5
23	и пр	15	5
24	может быть	25	5
25	в котором	2	4
26	то что	8	4
27	что в	8	4
28	если бы	12	4
29	в своем	2	4
30	не может	24	4
31	россии и	2	4
32	по себе	4	4
33	том что	4	4
34	мы должны	2	4
35	как бы	8	4
36	и потому	5	4
37	сами по	2	3
38	в нем	15	3
39	и т	11	3
40	с тем	7	3
41	в россии	2	3
42	она есть	3	3
43	столь же	3	3
44	это не	3	3
45	т е	32	3
46	прежде всего	4	3
47	для того	4	3
48	с точки	14	3
49	сводится к	5	3
50	мы не	4	3
51	и как	4	3
52	между тем	7	3
53	но не	5	3
54	могут быть	4	3
55	точки зрения	16	3
56	в себе	3	3
57	потому что	7	3
58	творчества и	3	2
59	не менее	7	2
60	в русскую	2	2
61	и тем	3	2
62	так называемые	2	2
63	для них	7	2
64	во всех	3	2
65	время в	3	2
66	отнюдь не	8	2
67	друг другу	2	2
68	со стороны	4	2
69	в них	3	2
70	все это	7	2
71	как раз	8	2
72	отношения к	2	2
73	может и	3	2
74	в жизни	11	2
75	главным образом	2	2
76	стороны и	2	2
77	а не	17	2
78	бы ни	4	2
79	того что	3	2
80	для нас	3	2
81	в ее	4	2
82	говорить о	2	2
83	одна из	2	2
84	является в	2	2
85	из них	2	2
86	в общем	2	2
87	и это	2	2
88	в полной	2	2
89	никак не	3	2
90	да и	4	2
91	не о	3	2
92	в эту	2	2
93	в его	7	2
94	и с	3	2
