N	2gram	Tiupa_Anal_2	Sotsiolo
1	все это	4	7
2	в том	12	5
3	в этом	18	5
4	не в	4	3
5	в его	2	3
6	и в	16	3
7	не только	16	3
8	или даже	2	2
9	по отношению	4	2
10	еще не	2	2
11	было бы	3	2
12	как будто	3	2
13	только в	4	2
14	в конце	4	2
15	по существу	2	2
16	таким образом	2	2
17	том что	12	2
18	то же	4	2
19	отношению к	4	2
20	то что	7	2
21	может быть	6	2
22	за пределы	4	2
23	в результате	3	2
24	в частности	16	2
25	но и	12	2
26	дело не	2	2
27	по природе	2	2
28	как бы	10	2
29	ведь это	2	2
30	что в	2	2
