N	2gram	Potebnia_M_2	StatiiOP
1	и в	24	44
2	в том	18	36
3	и т	6	30
4	что в	16	30
5	том что	8	29
6	т д	3	21
7	в этом	8	21
8	вовсе не	9	19
9	то что	20	18
10	не только	15	18
11	было бы	13	17
12	а в	8	17
13	о том	5	17
14	и не	19	16
15	а не	18	16
16	может быть	23	15
17	как в	10	13
18	не в	13	12
19	у нас	2	11
20	самом деле	2	11
21	того чтобы	2	11
22	для того	5	10
23	что он	4	10
24	но и	9	10
25	но в	4	10
26	только в	11	10
27	с другой	6	9
28	если бы	11	9
29	в то	6	9
30	как и	7	9
31	того что	7	9
32	т п	3	9
33	так и	5	9
34	в его	2	9
35	например в	3	8
36	во всех	7	8
37	все же	5	8
38	из них	5	8
39	не может	12	8
40	и его	2	8
41	это не	3	8
42	прежде всего	7	7
43	так например	3	7
44	по поводу	6	7
45	в самом	4	7
46	для нас	31	7
47	сих пор	4	7
48	до сих	4	7
49	другой стороны	2	7
50	таким образом	11	7
51	сказать что	2	7
52	что они	5	7
53	потому что	49	6
54	из этих	4	6
55	так что	10	6
56	но это	3	6
57	для него	10	6
58	что и	11	6
59	со стороны	3	6
60	на самом	2	6
61	во всяком	7	6
62	хотя бы	2	6
63	всяком случае	7	6
64	не менее	5	5
65	никогда не	4	5
66	такой же	4	5
67	так же	2	5
68	что мы	11	5
69	в котором	4	5
70	в нем	9	5
71	в целом	3	5
72	все это	2	5
73	вряд ли	3	5
74	той же	3	5
75	то же	12	5
76	и по	2	5
77	в слове	13	5
78	и то	3	5
79	тем что	7	5
80	могут быть	8	5
81	все эти	2	5
82	так как	10	5
83	там где	4	5
84	на вопрос	3	4
85	что это	3	4
86	столь же	5	4
87	что она	3	4
88	вопрос о	2	4
89	мы находим	2	4
90	же время	2	4
91	но все	2	4
92	и что	4	4
93	но если	2	4
94	как бы	9	4
95	на то	5	4
96	не было	6	4
97	что у	2	4
98	не имеет	6	4
99	языка и	3	4
100	как это	2	4
101	в которой	5	4
102	к которому	2	4
103	том как	3	4
104	а с	2	3
105	во время	4	3
106	тому что	2	3
107	в какой	2	3
108	стремление к	2	3
109	в каждом	2	3
110	но не	12	3
111	того же	14	3
112	еще не	4	3
113	кажется что	3	3
114	что не	5	3
115	и для	3	3
116	общего с	2	3
117	в ней	3	3
118	не все	2	3
119	и тем	3	3
120	то это	3	3
121	ни с	2	3
122	внимание на	2	3
123	по отношению	2	3
124	и только	6	3
125	что для	3	3
126	с одной	4	3
127	что оно	4	3
128	о которой	3	3
129	должны быть	4	3
130	тем же	3	3
131	в таком	4	3
132	в чем	7	3
133	в каком	3	3
134	в другом	2	3
135	и вообще	3	3
136	связанные с	2	3
137	во многих	3	3
138	если это	2	3
139	между тем	6	3
140	с этим	7	3
141	что все	2	2
142	уже в	5	2
143	что ни	2	2
144	совсем не	2	2
145	бы не	5	2
146	всех этих	2	2
147	но на	2	2
148	в этих	3	2
149	что во	2	2
150	даже и	2	2
151	превращается в	2	2
152	с которыми	2	2
153	и во	3	2
154	по крайней	5	2
155	смысле этого	3	2
156	что на	3	2
157	бы что	2	2
158	крайней мере	5	2
159	если не	4	2
160	есть в	2	2
161	при этом	13	2
162	то время	4	2
163	что с	2	2
164	одной стороны	3	2
165	между прочим	4	2
166	за пределы	2	2
167	и потому	2	2
168	этого слова	6	2
169	если в	3	2
170	что нет	2	2
171	и уже	5	2
172	тем не	6	2
173	можно назвать	2	2
174	судя по	5	2
175	отношения к	2	2
176	на него	3	2
177	разница между	2	2
178	и их	5	2
179	допустим что	2	2
180	и тогда	3	2
181	вытекает из	2	2
182	оба эти	2	2
183	а потому	5	2
184	тем самым	4	2
185	и у	3	2
186	есть только	6	2
187	в других	4	2
188	мы не	11	2
189	думать что	3	2
190	а то	2	2
191	их в	2	2
192	у него	2	2
193	одно из	3	2
194	но он	2	2
195	в себе	10	2
196	в сознании	23	2
197	о котором	2	2
198	то не	3	2
199	и все	3	2
200	его в	3	2
201	и это	2	2
202	том смысле	4	2
203	или же	7	2
204	время как	4	2
205	то есть	30	2
