N	2gram	Tiupa_Hudo_2	Poddanst
1	не только	11	17
2	и в	28	14
3	и не	18	12
4	в этом	13	10
5	то же	6	9
6	в том	15	9
7	в качестве	4	9
8	но в	2	9
9	хотя бы	2	8
10	же время	4	7
11	в то	6	7
12	только в	4	7
13	но и	9	6
14	в ней	3	6
15	было бы	3	6
16	с другой	3	5
17	не в	13	5
18	и о	4	5
19	может быть	8	5
20	в котором	6	4
21	то что	6	4
22	что в	5	4
23	если бы	6	4
24	в своем	5	4
25	не может	4	4
26	и к	2	4
27	а в	6	4
28	том что	19	4
29	первой половины	2	4
30	а также	2	4
31	как бы	5	4
32	в нем	3	3
33	и т	4	3
34	столь же	3	3
35	это не	6	3
36	с одной	3	3
37	т е	2	3
38	прежде всего	3	3
39	тем самым	2	3
40	для того	4	3
41	с точки	2	3
42	сводится к	6	3
43	с ними	3	3
44	между тем	8	3
45	но не	4	3
46	точки зрения	2	3
47	в себе	9	3
48	одной стороны	3	3
49	наряду с	5	3
50	вслед за	4	3
51	ей в	2	3
52	потому что	2	3
53	я и	6	3
54	не менее	5	2
55	в мире	7	2
56	именно в	2	2
57	в частности	7	2
58	отнюдь не	2	2
59	со стороны	3	2
60	в них	3	2
61	все это	3	2
62	как раз	4	2
63	не столько	2	2
64	в жизни	8	2
65	а не	14	2
66	для нас	3	2
67	в ее	18	2
68	как на	2	2
69	говорить о	2	2
70	если в	2	2
71	одна из	2	2
72	теперь в	2	2
73	в виде	2	2
74	не было	6	2
75	из них	2	2
76	более чем	2	2
77	и это	3	2
78	мысль о	2	2
79	в ряду	2	2
80	да и	5	2
81	в его	11	2
82	и с	6	2
