N	2gram	Vinokur_Vv_1	VelikijI
1	и не	13	20
2	и в	27	16
3	то что	17	9
4	так как	13	9
5	еще не	4	8
6	в истории	9	8
7	а не	3	7
8	не есть	4	6
9	хотя и	3	5
10	как бы	5	5
11	но и	5	5
12	все это	6	5
13	того что	12	5
14	и есть	3	4
15	что он	4	4
16	в нем	13	4
17	как и	5	4
18	это еще	2	4
19	что мы	2	4
20	в котором	4	4
21	что не	5	4
22	потому что	14	4
23	в этом	34	4
24	в ней	3	4
25	говорить о	3	4
26	в его	10	4
27	любовь к	4	3
28	должна быть	2	3
29	что в	11	3
30	по этому	2	3
31	в этих	3	3
32	в них	4	3
33	в конце	3	3
34	в том	31	3
35	не в	8	3
36	к тому	4	3
37	во всех	2	3
38	никогда не	3	3
39	то это	3	3
40	что и	3	3
41	жизни и	2	3
42	в своей	4	3
43	бы и	2	3
44	тому что	2	3
45	и что	4	3
46	не имеет	4	3
47	хотя бы	5	3
48	и для	4	3
49	должно быть	2	3
50	от этого	5	3
51	все эти	3	3
52	в чем	4	3
53	но в	10	3
54	не могут	5	2
55	до того	2	2
56	с тем	6	2
57	в число	2	2
58	это не	8	2
59	в прошлом	2	2
60	прежде всего	8	2
61	его к	2	2
62	да и	4	2
63	том что	26	2
64	одна из	2	2
65	но не	7	2
66	не к	2	2
67	и сам	2	2
68	того чтобы	21	2
69	не только	21	2
70	не могли	2	2
71	один из	6	2
72	не с	2	2
73	и т	43	2
74	на том	3	2
75	в форме	2	2
76	и тогда	3	2
77	т д	37	2
78	истории и	4	2
79	тем что	6	2
80	мы не	2	2
81	уже не	5	2
82	вот почему	3	2
83	а в	5	2
84	можно было	7	2
85	государства и	2	2
86	и то	5	2
87	между тем	8	2
88	могут быть	4	2
89	только в	13	2
90	и это	6	2
91	во всяком	3	2
