N	2gram	Losev_Dial_4	Sotsiolo
1	все это	9	7
2	в том	11	5
3	в этом	11	5
4	не в	8	3
5	как же	5	3
6	и только	2	3
7	в его	4	3
8	и в	15	3
9	не только	8	3
10	как только	5	2
11	еще не	4	2
12	было бы	9	2
13	как будто	2	2
14	только в	7	2
15	это и	9	2
16	и мы	7	2
17	таким образом	5	2
18	том что	10	2
19	то же	9	2
20	то что	16	2
21	главным образом	2	2
22	тем более	6	2
23	может быть	17	2
24	за пределы	3	2
25	в результате	6	2
26	в частности	2	2
27	диалектический материализм	2	2
28	и что	9	2
29	но и	4	2
30	в смысле	5	2
31	как бы	14	2
32	должна быть	7	2
33	что в	7	2
