N	2gram	Nazirov_Vr_1	Dialekti
1	т е	3	46
2	и не	5	30
3	может быть	4	17
4	то что	7	16
5	и в	8	15
6	как бы	4	14
7	точки зрения	2	14
8	это не	4	12
9	в том	3	11
10	не может	2	11
11	и все	7	11
12	в этом	8	11
13	том что	3	10
14	в виду	4	9
15	все это	4	9
16	и что	8	9
17	то же	5	9
18	уже не	2	9
19	с точки	2	9
20	в себе	2	8
21	и о	3	8
22	не только	9	8
23	в чем	3	8
24	и ее	2	8
25	и это	2	8
26	что в	7	7
27	что он	4	7
28	как и	6	7
29	и его	3	7
30	же время	5	6
31	и даже	6	6
32	тем более	2	6
33	в то	5	6
34	я не	3	5
35	в своем	3	5
36	на то	3	5
37	как же	2	5
38	в ней	4	5
39	в нем	6	5
40	таким образом	2	5
41	о том	4	5
42	с его	3	5
43	что я	2	5
44	– это	6	5
45	и как	3	4
46	но это	2	4
47	в этой	2	4
48	и уже	3	4
49	но и	7	4
50	так же	4	4
51	и с	6	4
52	отнюдь не	2	4
53	еще не	2	4
54	как раз	2	4
55	в его	3	4
56	в свою	2	3
57	отношения к	2	3
58	в истории	4	3
59	с ним	4	3
60	но в	6	3
61	к этому	3	3
62	в одну	2	3
63	об этом	5	3
64	этот момент	2	3
65	в своей	2	3
66	личность и	2	3
67	при помощи	2	3
68	и то	2	3
69	не менее	2	2
70	время и	2	2
71	об этой	2	2
72	в нашей	2	2
73	при этом	4	2
74	никогда не	2	2
75	в котором	6	2
76	у достоевского	4	2
77	из них	2	2
78	не было	5	2
79	не мог	2	2
80	но как	2	2
81	в них	2	2
82	и во	3	2
83	все же	6	2
84	о нем	6	2
85	что есть	3	2
86	в этот	3	2
87	вместе с	2	2
88	тем что	3	2
