N	2gram	Potebnia_M_2	VLabPisa
1	таким образом	11	27
2	в этом	8	26
3	и в	24	25
4	и т	6	24
5	не только	15	22
6	может быть	23	21
7	хотя бы	2	20
8	и не	19	19
9	не может	12	17
10	в его	2	15
11	т д	3	15
12	прежде всего	7	13
13	в том	18	13
14	все это	2	12
15	как это	2	12
16	с другой	6	11
17	из них	5	11
18	не могут	7	10
19	о том	5	10
20	к этому	2	9
21	что в	16	9
22	для него	10	9
23	но и	9	9
24	то же	12	9
25	т п	3	9
26	все эти	2	8
27	другой стороны	2	8
28	могут быть	8	8
29	из этих	4	7
30	же в	5	7
31	как и	7	7
32	том что	8	7
33	было бы	13	7
34	во всех	7	7
35	вместе с	11	7
36	по отношению	2	7
37	не было	6	7
38	а не	18	7
39	у него	2	6
40	это не	3	6
41	в себе	10	6
42	то что	20	6
43	более или	8	6
44	главным образом	4	6
45	в нем	9	6
46	так и	5	6
47	или менее	8	6
48	и его	2	6
49	их в	2	6
50	между тем	6	6
51	в то	6	6
52	тому что	2	5
53	же время	2	5
54	все же	5	5
55	и при	3	5
56	очевидно что	3	5
57	связи с	6	5
58	и есть	2	5
59	как бы	9	5
60	один из	2	5
61	сказать что	2	5
62	только в	11	5
63	не в	13	5
64	никогда не	4	4
65	в одном	6	4
66	в целом	3	4
67	что все	2	4
68	что он	4	4
69	с его	2	4
70	одна из	4	4
71	в нашей	2	4
72	них не	3	4
73	в самом	4	4
74	в них	5	4
75	в связи	2	4
76	с ними	3	4
77	во время	4	3
78	всех этих	2	3
79	с тем	4	3
80	и как	6	3
81	даже и	2	3
82	и от	3	3
83	человека и	3	3
84	одном из	4	3
85	только что	3	3
86	мы знаем	2	3
87	у нас	2	3
88	что они	5	3
89	или в	2	3
90	по поводу	6	3
91	с этим	7	3
92	что не	5	3
93	например в	3	3
94	вслед за	3	3
95	далеко не	3	3
96	в котором	4	3
97	его в	3	3
98	что и	11	3
99	и их	5	3
100	например что	2	3
101	видно из	2	3
102	образом в	4	3
103	что без	3	3
104	того что	7	3
105	и по	2	3
106	так же	2	3
107	его не	3	3
108	в слове	13	3
109	как на	3	3
110	бы в	2	3
111	том как	3	3
112	не менее	5	2
113	на вопрос	3	2
114	что ни	2	2
115	в каждом	2	2
116	зависит от	2	2
117	восприятия и	2	2
118	из себя	2	2
119	но даже	3	2
120	по крайней	5	2
121	что многие	2	2
122	в жизни	2	2
123	с нею	2	2
124	вовсе не	9	2
125	по себе	15	2
126	было в	2	2
127	от них	3	2
128	и весь	2	2
129	крайней мере	5	2
130	остановимся на	2	2
131	что его	3	2
132	до сих	4	2
133	и потому	2	2
134	но не	12	2
135	так например	3	2
136	без них	2	2
137	еще не	4	2
138	одной стороны	3	2
139	и может	3	2
140	мысль о	7	2
141	для того	5	2
142	в общем	2	2
143	то это	3	2
144	если бы	11	2
145	что например	2	2
146	ни с	2	2
147	в ней	3	2
148	что она	3	2
149	относится к	3	2
150	всяком случае	7	2
151	если в	3	2
152	что для	3	2
153	с а	4	2
154	сих пор	4	2
155	от того	5	2
156	между прочим	4	2
157	и впечатления	2	2
158	вообще и	2	2
159	бы не	5	2
160	а в	8	2
161	с одной	4	2
162	что оно	4	2
163	человека в	3	2
164	того чтобы	2	2
165	должны быть	4	2
166	что такое	2	2
167	между ними	2	2
168	само собою	2	2
169	и для	3	2
170	с другими	5	2
171	между собою	7	2
172	тому как	4	2
173	собою и	2	2
174	не столько	2	2
175	во всяком	7	2
176	также что	2	2
177	хотя и	3	2
178	подобно тому	4	2
179	они не	4	2
180	как например	3	2
181	в другом	2	2
182	что мы	11	2
183	как он	4	2
184	в чем	7	2
185	в которой	5	2
186	тогда когда	10	2
187	в сознании	23	2
188	но в	4	2
189	что нет	2	2
