N	2gram	Medvedev_U_1	Istorich
1	что он	2	24
2	не только	10	18
3	может быть	6	17
4	и в	14	15
5	но и	4	14
6	то что	7	12
7	и не	8	11
8	в этом	7	11
9	то же	5	10
10	все же	3	9
11	том что	2	7
12	сих пор	2	7
13	таким образом	2	7
14	не в	2	7
15	ничего не	2	7
16	до сих	2	6
17	в его	2	6
18	что и	2	6
19	в том	2	6
20	только в	2	6
21	но в	3	6
22	прежде всего	8	5
23	было бы	3	5
24	что она	2	5
25	не может	7	5
26	а не	10	5
27	его и	2	4
28	но это	2	4
29	в этой	4	4
30	и с	2	4
31	тем что	2	4
32	в себе	2	4
33	всех этих	2	3
34	в их	4	3
35	все это	5	3
36	мы не	2	3
37	что мы	2	3
38	могут быть	2	2
39	смысле этого	2	2
40	с другой	4	2
41	это не	3	2
42	не столько	2	2
43	по существу	2	2
44	как и	3	2
45	но не	2	2
46	и для	2	2
47	не все	2	2
48	хотя бы	5	2
49	в некоторых	2	2
50	и только	5	2
51	другой стороны	3	2
52	превращается в	2	2
53	самом деле	2	2
54	в системе	2	2
55	и то	3	2
