N	2gram	Berdyaev_V_1	StatiiOP
1	и в	16	29
2	том что	2	27
3	в том	3	27
4	в этом	4	21
5	но и	5	19
6	что в	3	19
7	не только	2	19
8	что он	4	13
9	в его	4	13
10	то что	9	11
11	все это	5	11
12	к тому	3	10
13	и т	2	9
14	так и	4	9
15	и не	20	9
16	потому что	4	9
17	но в	3	8
18	с тем	2	7
19	в ней	4	7
20	в котором	4	7
21	в своей	3	7
22	тому что	3	7
23	т д	2	6
24	и что	3	6
25	того чтобы	2	6
26	прежде всего	2	5
27	как бы	5	5
28	а не	7	5
29	того что	5	5
30	между тем	2	5
31	до того	2	4
32	не в	3	4
33	для него	2	4
34	хотя и	5	4
35	в нем	4	4
36	в этих	3	3
37	давно уже	2	3
38	оно не	3	3
39	на себя	5	3
40	в образе	4	3
41	ни в	3	3
42	но это	3	3
43	но не	2	3
44	никогда не	3	3
45	а с	2	3
46	не было	3	3
47	тем что	2	3
48	за то	3	3
49	хотя бы	3	3
50	его не	2	3
51	во всяком	2	3
52	которые не	2	3
53	с его	3	2
54	по этому	3	2
55	в них	3	2
56	если не	3	2
57	в конце	3	2
58	и теперь	2	2
59	в духе	2	2
60	и я	4	2
61	что было	2	2
62	что и	3	2
63	как и	4	2
64	что я	3	2
65	что они	7	2
66	в истории	8	2
67	и сам	2	2
68	это еще	4	2
69	и потому	7	2
70	нет и	2	2
71	только в	2	2
72	не могли	2	2
73	ее в	2	2
74	не к	2	2
75	истории и	2	2
76	все эти	3	2
77	по пути	5	2
78	не имеет	3	2
79	а к	2	2
80	чтобы сделать	2	2
81	и это	2	2
82	так как	9	2
