N	2gram	Tiupa_Lite_3	Myshleni
1	и в	16	25
2	в том	12	23
3	том что	8	20
4	что в	2	17
5	так же	2	17
6	в основе	5	16
7	как и	5	15
8	то что	12	15
9	в его	6	15
10	в этом	14	14
11	вместе с	5	14
12	может быть	12	13
13	в целом	5	13
14	в качестве	5	12
15	могли бы	2	11
16	как бы	8	10
17	и не	22	10
18	того что	9	10
19	было бы	2	10
20	что и	2	10
21	только в	7	10
22	связи с	2	9
23	как в	5	9
24	того чтобы	2	8
25	тем что	2	8
26	как мы	2	8
27	как это	3	7
28	по себе	2	7
29	по своей	3	7
30	для того	2	7
31	в области	3	7
32	не менее	2	6
33	с другой	6	6
34	не в	10	6
35	один из	2	6
36	не может	8	6
37	и на	2	6
38	потому что	3	6
39	что он	5	6
40	представляет собой	2	6
41	но не	4	6
42	того же	2	6
43	со всеми	2	6
44	не только	14	6
45	все же	2	6
46	в отличие	5	6
47	точки зрения	7	6
48	отличие от	5	6
49	так и	9	5
50	именно в	5	5
51	и как	3	5
52	для него	2	5
53	одной стороны	4	5
54	при этом	15	5
55	одним из	4	5
56	с одной	4	5
57	с ее	3	5
58	если бы	2	5
59	и к	3	5
60	о том	6	5
61	входит в	4	5
62	в этой	8	5
63	в частности	11	4
64	никогда не	4	4
65	прежде всего	3	4
66	на то	2	4
67	к тому	6	4
68	отнюдь не	3	4
69	из них	4	4
70	но и	14	4
71	а в	5	4
72	в то	9	4
73	еще не	6	4
74	той же	3	4
75	там где	3	4
76	с этой	2	3
77	в свою	2	3
78	и сам	2	3
79	в самом	3	3
80	вслед за	3	3
81	другой стороны	2	3
82	по отношению	4	3
83	с ними	2	3
84	этом отношении	5	3
85	между тем	3	3
86	в живом	2	3
87	его в	2	3
88	в случае	2	3
89	не как	2	3
90	в жизни	8	3
91	состоит в	6	3
92	к этому	2	3
93	то в	3	3
94	или иной	2	3
95	с ней	2	3
96	им в	2	3
97	когда он	2	3
98	место в	4	2
99	то же	9	2
100	все время	3	2
101	все они	2	2
102	и одновременно	2	2
103	одного из	2	2
104	и вместе	2	2
105	со всей	2	2
106	а по	2	2
107	ни было	2	2
108	всякий раз	2	2
109	мы и	2	2
110	такого рода	10	2
111	все более	2	2
112	нас к	2	2
113	хотя и	4	2
114	той или	2	2
115	в нем	2	2
116	и только	2	2
117	в совершенно	2	2
118	должно быть	4	2
119	как на	3	2
120	на себя	2	2
121	в своих	2	2
122	на его	3	2
123	в начале	4	2
124	лишь на	2	2
125	с его	6	2
126	к жизни	2	2
127	однако в	4	2
128	и другого	2	2
129	в одном	4	2
130	все еще	3	2
131	же в	2	2
132	и потому	2	2
133	а также	4	2
134	еще в	3	2
135	оно не	2	2
136	отношению к	4	2
137	в мире	16	2
138	в своей	7	2
139	внимание на	2	2
140	другого в	4	2
141	из того	2	2
142	уже не	3	2
143	тем самым	7	2
144	едва ли	3	2
145	и для	4	2
146	и его	6	2
147	или иначе	2	2
148	тому как	3	2
149	в себе	6	2
