N	2gram	Berdyaev_N_1	Myshleni
1	в том	8	28
2	и в	16	28
3	то что	4	28
4	в этом	7	27
5	потому что	4	22
6	не может	16	19
7	том что	2	19
8	что в	9	17
9	не только	5	16
10	так же	2	15
11	может быть	7	13
12	сказать что	3	13
13	и не	11	11
14	к тому	3	10
15	но и	3	10
16	но не	2	10
17	того чтобы	2	10
18	никогда не	6	8
19	еще не	3	8
20	в нем	5	7
21	он не	8	7
22	вместе с	2	7
23	можно было	2	7
24	и к	5	6
25	же как	2	6
26	и что	2	6
27	не имеет	4	6
28	в то	2	6
29	когда мы	2	6
30	как и	7	6
31	так и	2	6
32	мы не	2	6
33	это не	4	5
34	вопрос о	3	5
35	время как	2	5
36	и на	2	5
37	и все	4	5
38	но в	2	5
39	что все	2	5
40	с тем	3	5
41	переходе от	2	5
42	могут быть	2	5
43	не могли	2	5
44	я не	2	4
45	не в	6	4
46	к жизни	3	4
47	с этим	2	4
48	мысли в	2	4
49	во всех	3	4
50	в себе	2	4
51	зависит от	2	3
52	все время	2	3
53	как это	2	3
54	это есть	7	3
55	есть в	2	3
56	хотя и	2	3
57	в основе	3	3
58	с его	6	3
59	в них	4	3
60	это и	2	3
61	переход к	2	3
62	как в	3	3
63	а не	17	3
64	что такое	3	3
65	не знает	6	3
66	не менее	4	2
67	для этого	2	2
68	с другой	3	2
69	прежде всего	4	2
70	в новой	7	2
71	но это	6	2
72	и от	2	2
73	все это	5	2
74	другой стороны	2	2
75	мы говорим	2	2
76	все эти	2	2
77	в высшей	6	2
78	у него	2	2
79	к более	2	2
80	этом смысле	2	2
81	по существу	2	2
82	по своему	4	2
83	она не	3	2
84	в своей	3	2
85	мысли и	2	2
86	а в	2	2
87	перейти к	3	2
88	вот почему	2	2
89	в новом	2	2
