N	2gram	Bakhtin_sl_1	RusskieA
1	и в	41	29
2	том что	2	22
3	в том	3	22
4	как бы	12	18
5	в других	3	15
6	может быть	14	13
7	так как	3	13
8	как и	4	11
9	одна из	2	11
10	в этом	12	11
11	все это	5	10
12	и с	4	10
13	не только	16	10
14	а на	2	9
15	о том	3	9
16	а в	6	9
17	но и	16	8
18	его в	3	8
19	данном случае	3	7
20	как в	8	7
21	или в	8	7
22	мы не	2	6
23	этом случае	2	6
24	еще не	4	6
25	для того	2	6
26	для нас	2	6
27	таким образом	9	6
28	при этом	6	6
29	и на	14	6
30	в данном	3	6
31	потому что	2	5
32	это не	6	5
33	к этому	2	5
34	но не	2	5
35	с ней	2	5
36	и т	28	5
37	не может	14	5
38	т д	5	5
39	но в	8	5
40	именно в	3	4
41	в них	6	4
42	и все	4	4
43	уже не	2	4
44	по существу	3	4
45	так что	2	4
46	не в	7	4
47	из них	3	4
48	к нему	5	4
49	же как	2	4
50	том же	4	4
51	а также	2	4
52	так же	2	4
53	то же	14	4
54	у нас	2	4
55	а не	15	4
56	в виде	2	4
57	далеко не	5	4
58	на этом	2	3
59	и там	3	3
60	по всей	3	3
61	в этих	2	3
62	в качестве	3	3
63	и других	3	3
64	и от	4	3
65	в ее	2	3
66	она не	3	3
67	до конца	12	3
68	того что	3	3
69	было бы	3	3
70	и о	2	3
71	в котором	2	3
72	с другими	5	3
73	во всех	17	3
74	связь с	2	3
75	все эти	9	3
76	и по	2	3
77	друг друга	3	3
78	или даже	2	3
79	как мы	8	3
80	между тем	2	3
81	но он	2	3
82	в эту	2	3
83	с этой	3	2
84	связи с	2	2
85	могут быть	19	2
86	никогда не	3	2
87	связанные с	3	2
88	между собой	2	2
89	с другой	5	2
90	них как	2	2
91	из этих	3	2
92	прежде всего	8	2
93	кроме того	4	2
94	одним из	4	2
95	у них	2	2
96	то время	2	2
97	здесь в	4	2
98	для них	2	2
99	одной стороны	4	2
100	совершенно не	2	2
101	оно как	2	2
102	из этого	3	2
103	вокруг него	2	2
104	в него	3	2
105	за пределами	2	2
106	как оно	3	2
107	один из	4	2
108	не с	2	2
109	все же	7	2
110	в своей	7	2
111	дело не	2	2
112	в их	4	2
113	где они	2	2
114	а с	2	2
115	не было	3	2
116	с одной	4	2
117	на самом	2	2
118	образом в	3	2
119	там где	4	2
120	тем и	2	2
121	и для	4	2
122	должно быть	2	2
123	можно было	2	2
124	так в	2	2
125	быть только	2	2
126	и то	2	2
127	а иногда	3	2
128	с этим	3	2
129	и ее	3	2
130	в то	14	2
131	в которой	4	2
