N	3gram	Voloshinov_1	Myshleni
1	в том что	3	19
2	с точки зрения	20	10
3	по отношению к	2	10
4	для того чтобы	3	8
5	с самого начала	4	7
6	так же как	2	6
7	то же самое	3	6
8	можно сказать что	3	6
9	от того что	2	6
10	можно было бы	2	5
11	и того же	5	4
12	одного и того	5	4
13	и той же	2	3
14	в этом отношении	3	3
15	до сих пор	8	3
16	в первом случае	3	3
17	одной и той	2	3
18	не могут быть	2	2
19	на этот вопрос	3	2
20	в этом случае	3	2
21	и не может	9	2
22	с другой стороны	5	2
23	в связи с	7	2
24	не может быть	13	2
25	в этом смысле	2	2
26	в этом вопросе	2	2
