N	2gram	Berdyaev_O_1	Literetu
1	и не	13	22
2	и в	19	16
3	не только	11	14
4	но и	13	14
5	в этом	12	14
6	а не	11	12
7	то что	5	12
8	может быть	11	12
9	в том	5	12
10	не в	11	10
11	так и	2	9
12	того что	3	9
13	том что	2	8
14	не может	4	8
15	в этой	5	8
16	как бы	3	8
17	в своей	2	7
18	с его	4	6
19	еще не	3	6
20	в его	7	6
21	и его	4	6
22	в себе	3	6
23	в другом	2	6
24	о том	3	6
25	это не	3	5
26	что он	3	5
27	в ее	2	5
28	как и	6	5
29	лишь в	7	5
30	а в	5	5
31	никогда не	9	4
32	до конца	7	4
33	и для	2	4
34	хотя и	2	4
35	жизни в	2	4
36	должно быть	2	4
37	одно из	2	4
38	в единстве	2	3
39	все еще	2	3
40	прежде всего	9	3
41	и к	2	3
42	в самом	5	3
43	человеческого духа	3	3
44	потому что	9	3
45	но в	2	3
46	с которой	2	2
47	что в	4	2
48	быть может	3	2
49	что у	2	2
50	к этому	2	2
51	вопрос о	10	2
52	по себе	2	2
53	ни с	7	2
54	в нем	10	2
55	и ее	3	2
56	него не	2	2
57	для него	5	2
58	было бы	3	2
59	что не	4	2
60	что и	2	2
61	все же	2	2
62	отношение к	5	2
63	когда он	3	2
64	о природе	3	2
65	человека в	11	2
66	и вот	3	2
67	свободы и	2	2
68	того чтобы	4	2
69	для того	3	2
70	о которой	2	2
71	своей жизни	2	2
72	в своих	3	2
73	и на	2	2
74	и с	2	2
75	тем что	2	2
76	он в	2	2
77	его в	2	2
78	и потому	2	2
79	в глубине	7	2
80	ее в	2	2
