N	2gram	Tiupa_Anal_3	Hudozhes
1	в мире	5	23
2	в качестве	12	19
3	то есть	10	18
4	состоит в	4	16
5	и не	12	16
6	в том	9	15
7	и в	18	15
8	не только	22	15
9	в частности	12	13
10	может быть	9	13
11	модуса художественности	3	13
12	тогда как	20	13
13	при этом	11	12
14	а в	10	12
15	и его	13	12
16	но не	7	11
17	в этом	14	11
18	эстетического отношения	3	11
19	в себе	2	11
20	я в	5	11
21	представляет собой	5	10
22	как бы	10	10
23	отношению к	7	10
24	но и	13	10
25	так и	14	10
26	по отношению	7	10
27	то же	3	10
28	а не	9	10
29	такого рода	5	9
30	в его	7	9
31	точки зрения	3	9
32	в рамках	3	8
33	произведение искусства	4	8
34	себя в	4	8
35	его внешней	2	8
36	своего рода	8	8
37	сводится к	2	8
38	в миропорядке	8	8
39	с другой	7	7
40	или иной	5	7
41	в отличие	2	7
42	в принципе	2	7
43	в искусстве	2	7
44	в то	3	7
45	отличие от	2	7
46	но в	2	7
47	я и	3	7
48	с его	8	6
49	что в	9	6
50	в ее	3	6
51	том что	12	6
52	не в	6	6
53	же время	3	6
54	модус художественности	2	6
55	в тексте	9	6
56	приводит к	4	6
57	не может	2	6
58	по своей	2	6
59	могут быть	2	5
60	художественности в	2	5
61	по сути	2	5
62	можно сказать	4	5
63	а также	2	5
64	только в	2	5
65	тем самым	4	5
66	художественной реальности	3	5
67	в самом	5	5
68	не предполагает	2	5
69	той или	3	5
70	я с	2	5
71	в нем	2	5
72	с ее	3	5
73	то что	2	5
74	присутствия я	3	5
75	и т.п	5	5
76	другой стороны	5	5
77	в их	6	5
78	уже не	5	5
79	коммуникативного события	11	5
80	картина мира	4	5
81	внешней заданности	2	5
82	героя и	4	5
83	говоря словами	2	4
84	не столько	3	4
85	личности в	3	4
86	прежде всего	5	4
87	к тому	6	4
88	кто говорит	2	4
89	и как	4	4
90	воспринимающего сознания	3	4
91	для него	6	4
92	еще не	6	4
93	например в	2	4
94	хотя и	2	4
95	он не	6	4
96	со стороны	9	4
97	в форме	2	4
98	как к	2	4
99	входит в	2	4
100	отношения к	2	4
101	в слове	5	4
102	по пути	4	4
103	сказать что	2	4
104	между тем	5	4
105	мы имеем	5	4
106	как эстетической	2	4
107	говорить о	3	4
108	креативная компетенция	5	4
109	без исключения	3	4
110	и т.д	2	4
111	роли в	3	4
