N	2gram	Tiupa_Teor_1	Stilisti
1	и в	18	42
2	как бы	5	27
3	не только	16	27
4	и т.п	4	24
5	прежде всего	2	22
6	и т.д	3	20
7	внутренней речи	13	18
8	но и	9	15
9	то же	7	15
10	и не	13	14
11	может быть	17	12
12	не может	4	12
13	точки зрения	9	11
14	как и	4	11
15	и как	2	10
16	отнюдь не	3	10
17	в этом	8	10
18	при этом	12	9
19	в то	6	9
20	то что	3	9
21	таким образом	3	8
22	тем самым	4	8
23	в себе	9	8
24	и это	2	8
25	никогда не	4	7
26	же время	5	7
27	и тем	3	7
28	потому что	3	7
29	с его	5	7
30	а не	9	7
31	и его	8	7
32	только в	6	7
33	в которой	2	7
34	или иной	4	6
35	не в	7	6
36	в этой	3	6
37	в свою	3	6
38	в форме	2	6
39	в конце	2	6
40	в нем	4	6
41	так и	10	6
42	речи и	2	6
43	в области	4	6
44	слова в	2	5
45	в нашем	4	5
46	тому что	2	5
47	своей жизни	2	5
48	и является	2	5
49	не является	4	5
50	а в	13	5
51	того или	3	5
52	как это	8	5
53	или иного	3	5
54	в его	6	5
55	вместе с	2	5
56	в той	2	5
57	с точки	3	5
58	во внутренней	2	4
59	можно сказать	3	4
60	к тому	2	4
61	свою очередь	2	4
62	в качестве	24	4
63	в самом	4	4
64	один из	2	4
65	все это	2	4
66	того что	4	4
67	так же	2	4
68	его в	2	4
69	но в	9	4
70	если бы	3	4
71	внешней речи	2	4
72	и к	3	4
73	у нас	2	4
74	себя в	6	4
75	а с	3	4
76	если мы	2	4
77	уже не	4	4
78	в слове	3	4
79	и то	2	4
80	то есть	12	4
81	перед нами	2	3
82	это не	2	3
83	мы легко	2	3
84	хотя и	3	3
85	в целом	3	3
86	во второй	7	3
87	и вот	3	3
88	лишь в	6	3
89	и даже	2	3
90	их в	3	3
91	сказать что	3	3
92	и здесь	2	3
93	в виду	5	3
94	в одном	2	3
95	этого слова	3	3
96	об этом	2	3
97	в ее	5	3
98	том что	9	3
99	еще не	4	3
100	внутренней и	2	3
101	о своем	2	3
102	мы в	2	3
103	тех или	3	3
104	что и	2	3
105	не будет	2	3
106	отношения к	2	3
107	слова как	3	3
108	между ними	4	3
109	и для	2	3
110	роль в	2	3
111	не знает	3	3
112	и внешней	3	3
113	художественного высказывания	3	2
114	место в	5	2
115	в душе	8	2
116	в частности	16	2
117	в какой	2	2
118	или даже	4	2
119	в мире	19	2
120	в том	16	2
121	тот или	2	2
122	времени и	2	2
123	для него	2	2
124	в пределах	5	2
125	не с	3	2
126	в этих	3	2
127	отношение к	5	2
128	в первой	5	2
129	между внутренней	2	2
130	в отношении	3	2
131	все эти	2	2
132	и больше	2	2
133	высказывания в	3	2
134	по своей	3	2
135	человека с	2	2
136	мы имеем	7	2
137	к которому	3	2
138	я и	2	2
139	в жизни	2	2
140	в основе	3	2
141	ни к	3	2
142	однако в	7	2
143	между собой	3	2
144	или иных	3	2
145	представляет собой	9	2
146	но не	9	2
147	по своему	2	2
148	а на	3	2
149	одной из	2	2
150	и потому	2	2
151	в своей	6	2
152	как в	5	2
153	к чему	2	2
154	или в	3	2
155	между двумя	3	2
