N	2gram	Savitsky_P_1	Myshleni
1	точки зрения	3	26
2	в том	9	24
3	и в	14	23
4	том что	4	21
5	с точки	3	18
6	то что	4	17
7	в этом	10	17
8	не только	17	16
9	того что	2	15
10	для того	3	15
11	что в	4	14
12	может быть	5	14
13	но и	6	14
14	в его	2	14
15	не может	4	12
16	как бы	4	11
17	с другой	5	10
18	прежде всего	3	10
19	в отношении	10	10
20	в качестве	9	9
21	одной стороны	3	9
22	и не	12	9
23	между тем	3	9
24	и с	2	9
25	с одной	3	8
26	заключается в	3	8
27	то же	9	8
28	в то	7	7
29	с тем	3	7
30	мы не	3	7
31	столь же	3	6
32	и тем	2	6
33	все это	2	6
34	именно в	2	6
35	потому что	3	6
36	с этим	2	6
37	в силу	2	6
38	по сравнению	2	6
39	в себе	3	6
40	только в	7	6
41	и как	3	5
42	по себе	4	5
43	что мы	3	5
44	мы должны	4	5
45	если бы	4	5
46	но в	9	5
47	тем самым	3	5
48	тем более	2	5
49	но не	3	4
50	не в	5	4
51	в котором	4	4
52	которую мы	2	4
53	не столько	2	4
54	и к	4	4
55	было бы	6	4
56	во всей	2	4
57	как раз	2	4
58	хотя бы	8	4
59	как на	2	4
60	в своем	4	3
61	в общем	2	3
62	и мы	2	3
63	и если	4	3
64	в сфере	2	3
65	друг другу	2	3
66	отношения к	2	3
67	и других	2	3
68	в которых	5	3
69	во всех	2	3
70	а не	2	3
71	могут быть	3	3
72	и это	2	3
73	в области	11	3
74	в частности	2	2
75	в смысле	6	2
76	же время	7	2
77	вслед за	3	2
78	хотя и	3	2
79	не к	2	2
80	и вот	2	2
81	должно быть	2	2
82	а в	4	2
83	говорить о	2	2
84	главным образом	2	2
85	в них	2	2
86	есть не	2	2
87	в ее	2	2
88	в значительной	2	2
89	и потому	4	2
90	и пр	5	2
91	в виде	2	2
92	из важнейших	2	2
