N	2gram	Berdyaev_M_1	Psycholo
1	то что	5	37
2	и в	28	30
3	в том	6	27
4	что в	10	24
5	и что	2	23
6	потому что	16	23
7	том что	3	21
8	для того	2	20
9	того чтобы	2	20
10	как бы	2	19
11	что он	10	17
12	и мы	2	16
13	не только	29	16
14	в самом	11	14
15	в этом	20	14
16	то есть	3	13
17	вместе с	6	12
18	если бы	2	11
19	может быть	30	11
20	о том	2	10
21	никогда не	14	9
22	мы увидим	3	9
23	и когда	2	9
24	не может	28	9
25	увидим что	4	9
26	сказать что	2	9
27	так как	3	9
28	с тем	9	8
29	он должен	3	8
30	к тому	3	8
31	не в	16	8
32	а не	25	8
33	того что	7	8
34	мы видим	2	8
35	могут быть	2	8
36	и это	12	8
37	в нем	13	7
38	и как	2	7
39	но не	8	7
40	все же	2	7
41	точки зрения	4	7
42	в основе	2	7
43	уже в	4	6
44	в своем	10	6
45	как и	5	6
46	и для	2	6
47	но и	25	6
48	и не	11	6
49	жизни и	2	6
50	и его	9	6
51	тем что	4	6
52	как будто	2	6
53	когда мы	2	6
54	на этом	3	6
55	и есть	14	5
56	и потому	10	5
57	в этой	6	5
58	до сих	2	5
59	было бы	10	5
60	был бы	10	5
61	когда он	3	5
62	один из	4	5
63	сих пор	2	5
64	в себе	7	5
65	но в	7	5
66	только в	6	5
67	бы в	2	5
68	от него	4	4
69	и все	10	4
70	прежде всего	10	4
71	у нас	5	4
72	есть не	4	4
73	и к	2	4
74	в своей	15	4
75	в ней	15	4
76	в его	9	4
77	в него	3	4
78	заключает в	3	4
79	в них	4	4
80	не есть	9	4
81	по сравнению	2	4
82	а в	4	4
83	в конце	7	4
84	должен был	4	4
85	о чем	2	4
86	в виду	2	4
87	не существует	2	3
88	не могут	5	3
89	у него	17	3
90	хотя бы	3	3
91	это не	5	3
92	не как	4	3
93	к этому	2	3
94	вопрос о	2	3
95	для нас	3	3
96	это есть	3	3
97	в свою	2	3
98	для него	11	3
99	он не	24	3
100	чем у	4	3
101	в ее	3	3
102	что и	4	3
103	как в	2	3
104	в их	4	3
105	в той	2	3
106	на этот	2	3
107	человека в	13	3
108	но он	9	3
109	и на	6	3
110	в каком	2	3
111	в этих	4	3
112	в которой	6	3
113	из самых	8	2
114	с этой	4	2
115	с которой	2	2
116	с его	3	2
117	он в	2	2
118	себя и	3	2
119	с этим	3	2
120	заложено в	3	2
121	а как	2	2
122	он был	14	2
123	до конца	14	2
124	весь в	5	2
125	чем в	2	2
126	должна быть	6	2
127	это значит	3	2
128	нет в	4	2
129	в центре	2	2
130	это очень	3	2
131	на том	3	2
132	мог бы	4	2
133	еще в	2	2
134	ему удалось	2	2
135	в котором	8	2
136	его с	2	2
137	должен быть	2	2
138	себе и	2	2
139	на поверхности	5	2
140	отношения к	4	2
141	все это	6	2
142	отличается от	2	2
143	по отношению	2	2
144	которых он	4	2
145	что есть	5	2
146	это и	4	2
147	и вот	3	2
148	приводит к	2	2
149	и он	12	2
150	есть только	2	2
151	должно быть	3	2
152	к этим	2	2
153	время как	2	2
154	ничего не	3	2
155	в которых	4	2
156	и с	3	2
157	и самый	2	2
158	даже и	2	2
159	в то	2	2
160	не знает	4	2
161	как он	2	2
162	все эти	2	2
163	конце концов	2	2
