N	2gram	Vinokur_Ku_2	Hudozhes
1	и в	23	28
2	том что	11	19
3	и не	16	18
4	своего рода	4	16
5	в том	19	15
6	а не	10	14
7	не в	8	13
8	в этом	18	13
9	перед нами	4	11
10	как и	2	11
11	при этом	2	11
12	в его	5	11
13	не только	20	11
14	уже не	8	10
15	но и	7	9
16	что он	5	8
17	может быть	15	8
18	так и	4	8
19	между тем	6	8
20	я не	5	7
21	и все	2	7
22	к тому	4	7
23	об этом	5	7
24	в частности	2	7
25	что она	3	7
26	состоит в	2	7
27	как это	5	7
28	казалось бы	3	6
29	это не	6	6
30	можно сказать	4	6
31	то что	9	6
32	в своей	2	6
33	если бы	12	6
34	то же	6	6
35	не было	4	6
36	сводится к	3	6
37	а в	3	6
38	в глазах	2	6
39	и с	7	6
40	тем что	3	6
41	в то	4	6
42	что это	7	5
43	не менее	7	5
44	у него	3	5
45	в своем	2	5
46	как бы	4	5
47	как в	3	5
48	да и	6	5
49	в этой	6	5
50	что в	10	5
51	она не	2	5
52	в самом	12	5
53	никогда не	2	5
54	и его	3	5
55	рядом с	2	5
56	ничего не	4	5
57	бы и	4	4
58	превращается в	2	4
59	тем не	6	4
60	но не	6	4
61	что они	2	4
62	в качестве	8	4
63	же время	3	4
64	для того	9	4
65	и о	4	4
66	он не	3	4
67	в конечном	2	4
68	что и	3	4
69	и т	39	4
70	как раз	3	4
71	то и	3	4
72	не может	9	4
73	того чтобы	11	4
74	как будто	2	4
75	только в	5	4
76	была бы	4	3
77	конечном счете	2	3
78	в них	4	3
79	с другой	8	3
80	что все	5	3
81	прежде всего	8	3
82	в нем	4	3
83	что на	4	3
84	для нас	4	3
85	в соответствии	3	3
86	самом деле	9	3
87	когда в	2	3
88	еще не	5	3
89	было бы	15	3
90	по поводу	2	3
91	несмотря на	5	3
92	по преимуществу	2	3
93	в ней	3	3
94	не все	3	3
95	все они	2	3
96	со стороны	4	3
97	все это	5	3
98	на фоне	3	3
99	с одной	2	3
100	чтобы не	2	3
101	так же	4	3
102	или в	4	3
103	можно было	9	3
104	с ними	2	3
105	и на	6	3
106	соответствии с	2	3
107	что у	2	3
108	будто бы	2	3
109	и это	3	3
110	к нему	2	3
111	всего лишь	3	3
112	мы с	2	3
113	только для	2	2
114	т е	22	2
115	отнюдь не	4	2
116	нельзя было	2	2
117	именно в	3	2
118	не как	2	2
119	и от	2	2
120	гораздо более	3	2
121	вовсе не	9	2
122	или иного	2	2
123	как мы	3	2
124	о которых	3	2
125	мы знаем	4	2
126	что я	4	2
127	же как	2	2
128	как у	2	2
129	на этом	3	2
130	что не	6	2
131	того или	2	2
132	он уже	2	2
133	же и	2	2
134	а также	3	2
135	один из	5	2
136	в нашем	7	2
137	оно не	2	2
138	все же	7	2
139	вместе с	5	2
140	дело не	2	2
141	данном случае	2	2
142	что же	5	2
143	приводит к	5	2
144	здесь не	3	2
145	т п	24	2
146	если можно	2	2
147	т д	14	2
148	того как	2	2
149	еще и	2	2
150	те же	3	2
151	лишь в	5	2
152	тем самым	2	2
153	не более	2	2
154	и у	2	2
155	хотя бы	9	2
156	и для	2	2
157	с точки	8	2
158	той же	2	2
159	роль в	2	2
160	характер и	2	2
161	в данном	4	2
162	и то	5	2
163	сказать что	4	2
164	потому что	25	2
165	однако и	2	2
166	нуждается в	2	2
167	точки зрения	14	2
168	говорить о	4	2
169	в другом	2	2
170	могла бы	2	2
171	ответ на	2	2
172	но в	11	2
