N	2gram	Tiupa_Anal_2	VLabPisa
1	таким образом	2	27
2	в этом	18	26
3	и в	16	25
4	не только	16	22
5	может быть	6	21
6	и не	12	19
7	т е	2	17
8	не может	4	17
9	в его	2	15
10	прежде всего	3	13
11	в том	12	13
12	этом отношении	3	13
13	в частности	16	12
14	все это	4	12
15	как это	6	12
16	с другой	6	11
17	из них	3	11
18	в качестве	11	10
19	о том	7	10
20	к этому	2	9
21	что в	2	9
22	для него	4	9
23	но и	12	9
24	то же	4	9
25	в своем	4	8
26	другой стороны	2	8
27	могут быть	10	8
28	не следует	2	8
29	произведения в	5	7
30	как и	14	7
31	том что	12	7
32	было бы	3	7
33	в конечном	3	7
34	говорит о	5	7
35	отношению к	4	7
36	во всех	4	7
37	вместе с	2	7
38	по отношению	4	7
39	а не	10	7
40	у него	4	6
41	художественного произведения	2	6
42	в себе	7	6
43	то что	7	6
44	так и	15	6
45	и его	4	6
46	между тем	2	6
47	в то	2	6
48	в результате	3	5
49	он же	2	5
50	же время	2	5
51	конечном счете	2	5
52	как говорит	2	5
53	в пределах	9	5
54	как бы	10	5
55	один из	2	5
56	в их	3	5
57	приводит к	3	5
58	на основе	2	5
59	сказать что	2	5
60	только в	4	5
61	не в	4	5
62	произведения как	2	5
63	к тому	7	4
64	никогда не	3	4
65	в одном	2	4
66	в целом	8	4
67	что все	2	4
68	можно сказать	4	4
69	в своей	2	4
70	них не	2	4
71	в самом	6	4
72	даже в	2	4
73	не удивительно	3	4
74	как раз	4	4
75	с ними	3	4
76	в этой	9	4
77	это только	2	4
78	в противоположность	2	3
79	и к	5	3
80	в конце	4	3
81	по существу	2	3
82	из его	2	3
83	как о	3	3
84	или в	3	3
85	по поводу	3	3
86	со своим	3	3
87	вслед за	2	3
88	и он	2	3
89	удивительно что	3	3
90	в котором	2	3
91	его в	2	3
92	что и	3	3
93	и их	2	3
94	именно в	3	3
95	сводится к	3	3
96	в значительной	2	3
97	того что	2	3
98	так же	2	3
99	никак не	2	3
100	точки зрения	4	3
101	данного произведения	2	3
102	она не	2	3
103	всего лишь	8	3
104	бы в	3	3
105	не менее	4	2
106	только не	4	2
107	сюжета и	3	2
108	по крайней	3	2
109	вовсе не	2	2
110	а как	2	2
111	роль в	2	2
112	из своих	2	2
113	по себе	2	2
114	или иной	3	2
115	о его	4	2
116	крайней мере	3	2
117	частности в	2	2
118	а затем	2	2
119	ли не	2	2
120	но не	4	2
121	так например	2	2
122	еще не	2	2
123	одной стороны	4	2
124	он и	2	2
125	в общем	2	2
126	одной из	3	2
127	если бы	3	2
128	мы имеем	3	2
129	ни с	2	2
130	что она	2	2
131	и даже	9	2
132	отнюдь не	8	2
133	вообще и	2	2
134	а в	3	2
135	с одной	5	2
136	при всей	3	2
137	и для	2	2
138	можно было	3	2
139	тому как	3	2
140	не столько	3	2
141	результате чего	2	2
142	хотя и	4	2
143	лишь в	9	2
144	не о	2	2
145	он в	4	2
146	он не	2	2
147	подобно тому	3	2
148	этого рода	2	2
149	к его	2	2
150	говорить о	6	2
151	того или	3	2
152	в сознании	4	2
153	о чем	2	2
154	но в	6	2
