N	2gram	Bakhtin_Fr_5	UchenyiS
1	и в	45	14
2	а не	4	10
3	не только	14	10
4	и не	15	8
5	прежде всего	10	8
6	то что	2	7
7	в этом	14	7
8	не может	5	7
9	может быть	2	6
10	хотя бы	2	5
11	перестает быть	2	5
12	все это	7	5
13	и только	2	5
14	то же	11	5
15	но и	10	4
16	в этой	6	4
17	в их	4	4
18	конечно не	2	4
19	но в	14	3
20	как и	10	3
21	все же	2	3
22	в своей	3	3
23	же время	9	3
24	для него	3	3
25	это не	3	3
26	в то	11	3
27	было бы	2	3
28	и т.д	2	3
29	том что	7	2
30	но не	4	2
31	в том	10	2
32	по существу	3	2
33	мы не	4	2
34	с его	7	2
35	не в	7	2
36	всех этих	6	2
37	и для	3	2
38	но это	5	2
39	не столько	2	2
40	о чем	3	2
41	нас в	2	2
42	только в	4	2
43	и с	10	2
44	сих пор	3	2
45	что он	6	2
46	все они	4	2
47	и у	5	2
48	в системе	2	2
49	как раз	5	2
50	до сих	3	2
51	же самое	2	2
52	в конце	7	2
53	на эту	2	2
54	что все	2	2
55	этом отношении	5	2
56	в самом	4	2
57	в сторону	2	2
58	не могут	2	2
59	превращается в	2	2
60	одним из	5	2
61	ничего не	4	2
62	самом деле	5	2
63	для всех	3	2
64	что она	3	2
65	что и	7	2
66	в его	13	2
67	между тем	2	2
68	таким образом	8	2
69	это было	4	2
