N	2gram	Berdyaev_N_1	StatiiOP
1	и в	16	25
2	в этом	7	24
3	в том	8	20
4	что в	9	19
5	может быть	7	19
6	том что	2	15
7	и пр	3	13
8	то что	4	12
9	не только	5	12
10	прежде всего	4	10
11	и не	11	10
12	у него	2	9
13	но и	3	9
14	все это	5	8
15	о том	4	8
16	это было	3	8
17	это не	4	7
18	с этим	2	7
19	не может	16	7
20	что такое	3	7
21	в то	2	7
22	место в	2	6
23	не в	6	6
24	как в	3	6
25	а в	2	6
26	и на	2	6
27	в россии	3	6
28	в них	4	5
29	потому что	4	5
30	с другой	3	5
31	ни в	6	5
32	такого рода	2	5
33	и это	2	5
34	а не	17	5
35	другой стороны	2	5
36	он не	8	5
37	так и	2	5
38	но в	2	5
39	с тем	3	4
40	связана с	2	4
41	в жизни	5	4
42	этом смысле	2	4
43	в смысле	2	4
44	как и	7	4
45	это есть	7	4
46	но это	6	4
47	на протяжении	2	4
48	и к	5	4
49	в ней	5	4
50	в своей	3	4
51	в центре	2	4
52	не было	4	4
53	лишь в	6	4
54	и для	4	4
55	и с	2	4
56	время как	2	4
57	можно назвать	2	4
58	сказать что	3	4
59	xix века	5	4
60	что все	2	3
61	с его	6	3
62	все они	2	3
63	и что	2	3
64	одной стороны	2	3
65	все эти	2	3
66	уже не	2	3
67	это связано	2	3
68	в мировой	2	3
69	все время	2	2
70	не менее	4	2
71	исторической эпохи	3	2
72	никогда не	6	2
73	для этого	2	2
74	в духе	3	2
75	к тому	3	2
76	такой же	2	2
77	есть в	2	2
78	но не	2	2
79	времени и	2	2
80	еще не	3	2
81	во всех	3	2
82	одна из	2	2
83	том чтобы	2	2
84	нет и	2	2
85	должен быть	5	2
86	вместе с	2	2
87	история в	3	2
88	с ее	5	2
89	с одной	2	2
90	мы не	2	2
91	могут быть	2	2
92	в русском	2	2
93	не имеет	4	2
94	в новом	2	2
