N	2gram	Tiupa_Teor_1	Vladivir
1	и в	18	30
2	то что	3	20
3	в этом	8	20
4	в том	16	18
5	и не	13	18
6	в конце	2	13
7	том что	9	12
8	что в	9	12
9	не только	16	12
10	в его	6	11
11	а в	13	11
12	сказать что	3	11
13	а также	6	10
14	и даже	2	10
15	не в	7	9
16	для него	2	9
17	потому что	3	9
18	не может	4	9
19	в то	6	9
20	в своем	4	8
21	вместе с	2	8
22	но и	9	8
23	но в	9	8
24	не менее	4	7
25	никогда не	4	7
26	точки зрения	9	7
27	ни в	2	7
28	может быть	17	7
29	а не	9	7
30	как это	8	7
31	то есть	12	7
32	хотя и	3	6
33	прежде всего	2	6
34	и к	3	6
35	об этом	2	6
36	тем не	3	6
37	у нас	2	6
38	только в	6	6
39	в себе	9	6
40	а именно	2	6
41	и его	8	6
42	и то	2	5
43	как и	4	5
44	то в	2	5
45	при этом	12	5
46	того же	3	5
47	в своей	6	5
48	как бы	5	5
49	так и	10	5
50	все это	2	5
51	и что	3	5
52	того что	4	5
53	все эти	2	5
54	с его	5	4
55	именно в	3	4
56	я не	2	4
57	вовсе не	3	4
58	его в	2	4
59	можно сказать	3	4
60	в этой	3	4
61	в целом	3	4
62	и о	4	4
63	он не	3	4
64	в нем	4	4
65	в этих	3	4
66	со стороны	2	4
67	то же	7	4
68	так же	2	4
69	в которой	2	4
70	отношение к	5	4
71	это было	2	4
72	для меня	2	4
73	в них	2	3
74	в отношении	3	3
75	из этих	3	3
76	же время	5	3
77	в свою	3	3
78	что и	2	3
79	и как	2	3
80	своей жизни	2	3
81	более или	2	3
82	но не	9	3
83	в данном	8	3
84	и для	2	3
85	так или	4	3
86	и особенно	2	3
87	с точки	3	3
88	или менее	2	3
89	как в	5	3
90	в отличие	6	3
91	а а	5	3
92	отношения к	2	3
93	таким образом	3	3
94	и вот	3	3
95	и больше	2	3
96	уже не	4	3
97	отличие от	6	3
98	или иначе	5	3
99	но он	3	3
100	что можно	3	3
101	я в	16	3
102	говоря о	3	3
103	и это	2	3
104	дело в	2	3
105	в области	4	3
106	казалось бы	2	2
107	однако в	7	2
108	со своей	3	2
109	жизни в	2	2
110	это не	2	2
111	на меня	3	2
112	к тому	2	2
113	это тоже	2	2
114	в стихотворении	4	2
115	свою очередь	2	2
116	по своему	2	2
117	во второй	7	2
118	о своем	2	2
119	о в	2	2
120	такого рода	8	2
121	в самом	4	2
122	в частности	16	2
123	и потому	2	2
124	не вполне	2	2
125	в виду	5	2
126	даже в	3	2
127	себя в	6	2
128	данном случае	5	2
129	в их	2	2
130	не на	2	2
131	как к	2	2
132	и притом	2	2
133	в той	2	2
134	заключается в	2	2
135	существующее в	2	2
136	и по	2	2
137	их в	3	2
138	к его	2	2
139	как будто	2	2
140	я и	2	2
