N	2gram	Ircho_Kome_3	Mirosoze
1	и в	22	46
2	в нем	3	22
3	у него	4	22
4	может быть	6	21
5	в этом	8	20
6	никогда не	3	18
7	и не	21	18
8	не только	5	18
9	но и	4	15
10	не может	3	15
11	человека в	2	14
12	как и	3	13
13	а не	4	13
14	прежде всего	5	12
15	к человеку	2	12
16	друг друга	4	12
17	потому что	10	12
18	не было	2	11
19	в ней	4	11
20	и он	2	11
21	но в	5	10
22	он не	5	10
23	в себе	4	10
24	он был	4	9
25	не в	4	9
26	не знает	3	9
27	любовь к	3	8
28	как бы	3	8
29	в своем	8	8
30	так как	11	8
31	отношение к	5	8
32	она не	2	8
33	человека и	2	7
34	в мире	2	7
35	в этой	3	7
36	что он	8	7
37	и к	3	7
38	как в	2	7
39	хотя бы	4	7
40	и для	4	7
41	любви к	5	7
42	так же	4	6
43	и здесь	4	6
44	то же	7	5
45	в отношении	4	5
46	в самом	9	5
47	один из	3	5
48	что она	4	5
49	это не	2	5
50	в конце	7	5
51	и все	2	5
52	к тому	6	5
53	то что	4	5
54	в своей	5	5
55	для того	6	5
56	и его	6	5
57	в его	8	5
58	и это	2	5
59	что в	5	4
60	тому что	2	4
61	все что	3	4
62	до конца	4	4
63	человека не	2	4
64	не имеет	3	4
65	с его	3	4
66	в свою	7	4
67	том что	13	4
68	должен быть	2	4
69	перед ним	3	4
70	что и	8	4
71	так и	4	4
72	т е	16	4
73	того чтобы	6	4
74	его на	2	4
75	себя и	2	3
76	в образе	2	3
77	ни в	10	3
78	в том	12	3
79	что они	2	3
80	не мог	2	3
81	не так	3	3
82	в своих	2	3
83	и на	2	3
84	людей и	2	3
85	и с	4	3
86	о том	8	3
87	его в	8	3
88	как он	3	3
89	нет ничего	2	3
90	с ним	5	3
91	если бы	8	3
92	в них	3	3
93	и во	2	3
94	до сих	9	3
95	не будет	2	3
96	сих пор	9	3
97	от того	2	3
98	все равно	3	3
99	тем что	5	3
100	уже в	2	2
101	сам он	2	2
102	все время	2	2
103	так что	6	2
104	и любовь	2	2
105	и если	2	2
106	на его	2	2
107	хотя и	5	2
108	к нему	5	2
109	по отношению	5	2
110	отношения к	2	2
111	его не	2	2
112	а в	7	2
113	от своей	2	2
114	к себе	5	2
115	он так	3	2
116	в основе	2	2
117	не о	3	2
118	точки зрения	4	2
119	бы в	4	2
120	нет ни	2	2
121	е в	2	2
122	между тем	2	2
123	себе в	3	2
124	если он	2	2
125	связи с	5	2
126	чем в	3	2
127	и что	6	2
128	тот же	2	2
129	и тот	3	2
130	все к	2	2
131	в сущности	2	2
132	во всех	2	2
133	к ней	8	2
134	отношению к	3	2
135	вместе с	9	2
136	бы не	2	2
137	к своему	2	2
138	более чем	5	2
139	что не	3	2
140	из этой	2	2
141	можно было	2	2
142	свою вину	2	2
143	и этим	3	2
144	в которой	3	2
145	ничего не	3	2
146	и поэтому	4	2
