N	2gram	Losev_Prob_3	Otkroven
1	и в	44	19
2	но и	10	13
3	и не	35	13
4	в этом	17	12
5	а не	18	11
6	не в	13	11
7	может быть	28	11
8	не только	14	11
9	и все	3	10
10	в нем	9	10
11	никогда не	6	9
12	не было	5	9
13	в самой	2	9
14	потому что	25	9
15	прежде всего	3	9
16	ни с	4	7
17	от него	2	7
18	нет ничего	6	7
19	он не	8	7
20	в его	9	7
21	все это	5	6
22	как и	10	6
23	то что	23	5
24	а в	5	5
25	о его	2	5
26	в том	21	5
27	для него	3	5
28	в этой	3	5
29	в самом	3	5
30	всегда есть	2	4
31	он сам	4	4
32	только и	8	4
33	и его	5	4
34	все эти	7	4
35	не может	7	4
36	что в	8	4
37	в этих	2	3
38	и есть	5	3
39	это не	9	3
40	что он	9	3
41	того что	8	3
42	хотя бы	3	3
43	еще не	5	3
44	и от	9	3
45	могут быть	2	3
46	и ее	3	3
47	в себе	8	3
48	было бы	8	3
49	когда он	2	3
50	никто не	2	3
51	о том	6	3
52	с ним	7	3
53	как бы	9	3
54	это за	3	3
55	это было	2	3
56	уже в	3	2
57	с которой	2	2
58	все же	6	2
59	что и	9	2
60	не есть	35	2
61	он в	2	2
62	и для	2	2
63	с тем	5	2
64	и там	2	2
65	с чем	2	2
66	можно ли	4	2
67	природы и	2	2
68	ничего кроме	2	2
69	так и	10	2
70	не очень	2	2
71	в своем	5	2
72	что у	3	2
73	что же	8	2
74	сразу же	2	2
75	что все	2	2
76	по себе	25	2
77	и к	6	2
78	и очень	3	2
79	не имеет	9	2
80	в ее	4	2
81	его не	2	2
82	в которой	2	2
83	что для	3	2
84	том что	12	2
85	так что	12	2
86	в другом	2	2
87	ничто не	2	2
88	и то	14	2
89	что они	5	2
90	сказать что	16	2
91	и с	9	2
92	совсем не	2	2
93	тем что	4	2
94	даже и	16	2
95	и нет	2	2
96	его в	3	2
97	в своей	5	2
98	и ни	3	2
99	так как	9	2
100	и о	5	2
101	ничего не	3	2
102	хотя и	5	2
103	но в	12	2
104	и потому	7	2
