N	2gram	Tiupa_Disk_2	FransuaR
1	и в	16	65
2	то есть	12	45
3	как бы	4	22
4	и не	15	22
5	и т.п	12	17
6	в том	8	16
7	в этом	16	15
8	но в	11	14
9	в нем	7	13
10	нового времени	5	13
11	прежде всего	7	11
12	и на	5	11
13	и его	3	10
14	не только	10	10
15	но и	11	10
16	так и	9	10
17	все эти	3	10
18	в его	3	9
19	все это	2	9
20	в своем	5	8
21	в основе	4	8
22	здесь в	3	8
23	его в	3	7
24	в области	2	7
25	жизни и	3	7
26	точки зрения	4	7
27	только в	3	7
28	никогда не	2	6
29	не знает	3	6
30	том что	10	6
31	все же	6	6
32	времени и	2	6
33	еще не	6	6
34	при этом	17	6
35	может быть	16	6
36	в ней	2	6
37	одно из	4	6
38	с его	6	5
39	в одном	4	5
40	в частности	12	5
41	жизни в	3	5
42	в них	3	5
43	потому что	4	5
44	отличие от	12	5
45	есть в	2	5
46	или иной	3	5
47	для него	5	5
48	в своей	6	5
49	той или	3	5
50	и одновременно	2	5
51	как в	8	5
52	как и	16	5
53	в той	2	5
54	с их	2	5
55	в своих	6	5
56	между тем	2	5
57	и все	3	5
58	это в	2	4
59	не в	3	4
60	в этой	4	4
61	отношение к	2	4
62	из них	3	4
63	в отличие	12	4
64	мира и	4	4
65	входит в	2	4
66	но одновременно	3	3
67	что в	5	3
68	не является	4	3
69	это не	3	3
70	что он	2	3
71	но это	3	3
72	картине мира	2	3
73	в ряду	2	3
74	по своей	6	3
75	с точки	2	3
76	то что	5	3
77	и прежде	2	3
78	не может	9	3
79	этом отношении	4	3
80	в себя	2	3
81	уже не	3	3
82	жизни как	2	3
83	с другой	5	3
84	в себе	19	3
85	далеко не	2	3
86	и с	2	3
87	мира в	3	3
88	ни к	5	2
89	но не	7	2
90	в противоположность	5	2
91	не подлежит	2	2
92	из этих	3	2
93	но при	2	2
94	можно сказать	3	2
95	основе своей	2	2
96	одной стороны	4	2
97	например в	3	2
98	интерес к	2	2
99	при всей	7	2
100	свое время	2	2
101	он не	3	2
102	в свое	2	2
103	и для	2	2
104	в целом	2	2
105	не к	2	2
106	в большинстве	2	2
107	время в	2	2
108	к жизни	3	2
109	приводит к	3	2
110	с одной	4	2
111	себе самому	2	2
112	и наконец	3	2
113	роль в	4	2
114	их в	2	2
115	в этих	3	2
116	могут быть	3	2
117	о том	4	2
118	жизни но	3	2
119	и это	2	2
120	дело в	2	2
