N	2gram	Propp_Russ_2	Analitik
1	тогда как	2	19
2	в этом	11	18
3	и в	29	16
4	не только	10	16
5	как и	11	14
6	в том	22	12
7	но и	8	12
8	том что	22	12
9	в качестве	3	11
10	могут быть	2	10
11	как бы	18	10
12	при этом	6	10
13	а не	4	10
14	в этой	3	9
15	в данном	6	8
16	состоит в	15	8
17	представляет собой	2	8
18	то что	5	7
19	о том	9	7
20	а также	4	7
21	с другой	2	6
22	и на	6	6
23	может быть	13	6
24	как это	4	6
25	но в	5	6
26	говорит о	2	5
27	данном случае	7	5
28	с одной	2	5
29	на себя	2	5
30	не менее	2	4
31	в поле	19	4
32	этом случае	6	4
33	уже не	4	4
34	не в	4	4
35	но не	5	4
36	одной стороны	2	4
37	не с	2	4
38	во всех	3	4
39	как в	7	4
40	все это	10	4
41	не может	5	4
42	на этом	3	4
43	то же	4	4
44	не был	2	3
45	никогда не	2	3
46	не столько	2	3
47	прежде всего	2	3
48	как уже	2	3
49	что на	2	3
50	тем не	2	3
51	так что	4	3
52	есть в	2	3
53	было бы	3	3
54	мы имеем	6	3
55	или в	7	3
56	на две	2	3
57	что и	2	3
58	из них	4	3
59	в их	2	3
60	именно в	4	3
61	можно было	2	3
62	а в	9	3
63	как мы	3	3
64	тому как	3	3
65	и то	2	3
66	тем что	3	3
67	подобно тому	3	3
68	в эту	3	3
69	и все	4	3
70	того что	3	2
71	или даже	3	2
72	к этому	5	2
73	а затем	4	2
74	отличие от	3	2
75	по существу	4	2
76	должна была	5	2
77	что в	22	2
78	что с	2	2
79	она не	3	2
80	еще не	6	2
81	о чем	4	2
82	в своей	2	2
83	нас к	3	2
84	в таких	3	2
85	еще в	2	2
86	в котором	3	2
87	один из	2	2
88	в отличие	3	2
89	вместе с	6	2
90	дело не	2	2
91	что она	3	2
92	или их	2	2
93	таким образом	6	2
94	здесь в	2	2
95	т е	24	2
96	за пределами	2	2
97	этих случаях	4	2
98	не имеет	3	2
99	и для	2	2
100	за руки	7	2
101	так же	4	2
102	в таком	4	2
103	между тем	3	2
104	одно из	2	2
105	и м	8	2
106	в то	2	2
107	его в	8	2
108	представляют собой	7	2
109	в этих	3	2
