N	2gram	Vinokur_St_3	Otkroven
1	у него	9	22
2	и в	25	19
3	но и	9	13
4	и не	10	13
5	в этом	24	12
6	а не	5	11
7	не в	6	11
8	может быть	19	11
9	не только	12	11
10	никогда не	2	9
11	не было	4	9
12	потому что	5	9
13	прежде всего	10	9
14	он был	3	8
15	лишь в	4	7
16	но он	3	7
17	до конца	3	7
18	он не	5	7
19	в его	12	7
20	все это	8	6
21	как и	4	6
22	то что	12	5
23	а в	6	5
24	отношение к	4	5
25	в том	20	5
26	для него	3	5
27	в этой	14	5
28	в самом	2	5
29	в россии	6	5
30	в творчестве	3	5
31	с его	3	4
32	т е	8	4
33	что не	2	4
34	и его	3	4
35	все эти	3	4
36	не может	7	4
37	что в	19	4
38	к нему	4	3
39	в этих	11	3
40	это не	7	3
41	что он	19	3
42	того что	5	3
43	для того	2	3
44	в своих	8	3
45	еще не	2	3
46	могут быть	2	3
47	и ее	2	3
48	было бы	7	3
49	в русской	6	3
50	о том	8	3
51	как бы	6	3
52	это за	2	3
53	это было	8	3
54	уже в	3	2
55	все же	4	2
56	ее в	2	2
57	и для	4	2
58	с тем	4	2
59	всего в	4	2
60	так и	5	2
61	что у	2	2
62	что все	3	2
63	к этому	3	2
64	и к	4	2
65	о которой	2	2
66	не имеет	2	2
67	его не	2	2
68	в которой	4	2
69	что для	3	2
70	том что	15	2
71	так что	11	2
72	в другом	3	2
73	и на	6	2
74	что они	2	2
75	сказать что	4	2
76	и с	4	2
77	тем что	19	2
78	одно из	2	2
79	должен был	2	2
80	в своей	4	2
81	и ни	2	2
82	так как	3	2
83	к этой	2	2
84	ничего не	4	2
85	которую он	2	2
86	к ней	4	2
87	но в	5	2
88	в уста	2	2
