N	2gram	Vinokur_Ku_3	Formalny
1	и в	23	38
2	в этом	16	27
3	т е	32	26
4	может быть	14	23
5	и пр	3	21
6	таким образом	9	20
7	и не	10	20
8	в самом	13	16
9	прежде всего	9	15
10	не в	5	15
11	и т	54	14
12	не может	6	14
13	но и	3	13
14	связи с	6	13
15	языка и	2	12
16	в пределах	2	12
17	в поэзии	5	12
18	с тем	6	11
19	языка как	4	11
20	в том	22	11
21	вовсе не	5	11
22	в его	11	10
23	в связи	5	10
24	с помощью	6	10
25	с другими	2	10
26	и с	3	9
27	как и	5	9
28	при этом	6	9
29	в процессе	3	9
30	не только	17	9
31	т п	41	9
32	языка в	6	9
33	отнюдь не	3	8
34	что и	6	8
35	все же	5	8
36	так и	6	8
37	самом деле	14	8
38	тем что	5	8
39	точки зрения	23	8
40	что в	13	7
41	не могут	5	7
42	по себе	6	7
43	по существу	3	7
44	слова и	7	7
45	в своей	4	7
46	в корне	2	7
47	язык и	2	7
48	как мы	5	7
49	лишь в	8	7
50	уже не	8	7
51	с точки	16	7
52	в первом	5	7
53	не было	4	6
54	в результате	3	6
55	то что	4	6
56	в ней	3	6
57	литературный язык	4	6
58	было бы	16	6
59	вместе с	2	6
60	в их	6	6
61	то же	6	6
62	все эти	7	6
63	а не	11	6
64	как раз	4	6
65	в языке	7	6
66	могут быть	6	6
67	он не	3	6
68	только в	6	6
69	а в	5	6
70	хотя бы	9	6
71	в общем	6	5
72	должна быть	3	5
73	если бы	8	5
74	или иного	3	5
75	что он	6	5
76	именно в	3	5
77	это и	3	5
78	в слове	4	5
79	по преимуществу	3	5
80	если мы	7	5
81	что же	5	5
82	и только	3	5
83	т д	8	5
84	еще более	2	5
85	всего этого	3	5
86	говорить о	6	5
87	в то	3	5
88	и должно	5	5
89	во всяком	2	5
90	независимо от	5	4
91	как о	3	4
92	не столько	4	4
93	не как	2	4
94	раз и	2	4
95	на фоне	7	4
96	к тому	3	4
97	мы видели	3	4
98	в дальнейшем	2	4
99	что они	2	4
100	совершенно не	5	4
101	в сущности	4	4
102	в статье	2	4
103	того или	3	4
104	как они	2	4
105	не о	2	4
106	как бы	5	4
107	и к	3	4
108	в некоторых	2	4
109	как в	4	4
110	другой стороны	3	4
111	мы говорим	4	4
112	в особенности	2	4
113	что не	4	4
114	о языке	6	4
115	там где	3	4
116	здесь не	2	4
117	они не	3	4
118	ничего не	6	4
119	так как	9	4
120	но в	2	4
121	а лишь	3	3
122	главным образом	2	3
123	своей статье	2	3
124	в какой	3	3
125	с другой	7	3
126	из этих	5	3
127	как таковой	2	3
128	и здесь	2	3
129	и как	2	3
130	но все	2	3
131	зависимости от	8	3
132	из всего	2	3
133	в зависимости	7	3
134	то это	3	3
135	не есть	3	3
136	в целом	4	3
137	литературного языка	3	3
138	все это	2	3
139	так в	2	3
140	то и	2	3
141	на самом	3	3
142	такой же	2	3
143	именно на	2	3
144	того что	11	3
145	того чтобы	11	3
146	для того	12	3
147	тем же	2	3
148	мы не	3	3
149	сам по	3	3
150	хотя и	5	3
151	чем же	2	3
152	как к	2	3
153	слова в	4	3
154	его в	2	3
155	что это	3	3
156	так сказать	2	3
157	в области	14	3
158	не то	2	3
159	образом не	2	2
160	уже в	3	2
161	и более	3	2
162	поэзии как	3	2
163	речи но	3	2
164	состоит в	2	2
165	в этих	2	2
166	в качестве	2	2
167	тому что	4	2
168	для этого	6	2
169	говорим о	2	2
170	столь же	4	2
171	это не	3	2
172	до крайности	2	2
173	не просто	2	2
174	что именно	3	2
175	в тех	2	2
176	же это	2	2
177	в ее	4	2
178	том что	11	2
179	том случае	4	2
180	но это	5	2
181	то в	3	2
182	но не	3	2
183	очевидно что	3	2
184	но как	3	2
185	кроме того	2	2
186	она не	3	2
187	ни на	2	2
188	что на	3	2
189	е как	3	2
190	этот прием	2	2
191	к другому	2	2
192	и о	4	2
193	лишь о	2	2
194	слова как	2	2
195	в котором	2	2
196	не так	3	2
197	один из	4	2
198	и тем	6	2
199	отношение к	3	2
200	ни в	3	2
201	не по	3	2
202	и нужно	2	2
203	он пишет	2	2
204	а именно	3	2
205	смысл и	2	2
206	равно как	2	2
207	на этом	2	2
208	становится и	2	2
209	в той	4	2
210	можно говорить	10	2
211	проблема и	2	2
212	тем самым	4	2
213	какой мере	2	2
214	не имеет	3	2
215	должно быть	7	2
216	отличие от	2	2
217	в таком	4	2
218	русского литературного	2	2
219	языка но	3	2
220	этот вопрос	3	2
221	формы и	3	2
222	сказать что	7	2
223	между тем	4	2
224	он в	2	2
225	в отличие	2	2
226	совершенно иной	2	2
227	как например	2	2
228	к его	2	2
229	слово есть	3	2
230	вопроса о	3	2
231	можно будет	2	2
232	установка на	3	2
233	если же	2	2
234	подхода к	2	2
235	в чем	5	2
236	само собою	2	2
237	потому что	12	2
238	как это	7	2
239	отметить что	3	2
240	слово в	3	2
241	если это	2	2
242	в виду	8	2
