N	2gram	Berdyaev_V_1	Istorich
1	и в	16	22
2	в этом	4	17
3	и т	2	16
4	т д	2	15
5	что в	3	15
6	не только	2	14
7	но и	5	12
8	и не	20	12
9	в этих	3	11
10	еще не	8	10
11	но в	3	10
12	что он	4	9
13	в нем	4	9
14	что и	3	9
15	в том	3	9
16	что они	7	8
17	том что	2	8
18	но не	2	7
19	то что	9	7
20	уже не	2	7
21	так как	9	7
22	в них	3	6
23	это не	2	6
24	а в	2	6
25	а не	7	6
26	один из	2	5
27	того что	5	5
28	могут быть	2	5
29	не в	3	4
30	только в	2	4
31	для нас	2	4
32	его и	2	4
33	тем что	2	4
34	и они	3	4
35	все эти	3	4
36	что ты	3	4
37	почему в	2	3
38	для них	2	3
39	превращается в	3	3
40	и все	4	3
41	прежде всего	2	3
42	к тому	3	3
43	как и	4	3
44	но это	3	3
45	за ним	3	3
46	они и	2	3
47	все что	4	3
48	в его	4	3
49	никогда не	3	3
50	ее в	2	3
51	все равно	2	3
52	на том	2	3
53	его не	2	3
54	потому что	4	3
55	их в	3	3
56	в чем	3	3
57	не было	3	2
58	с тем	2	2
59	и есть	4	2
60	с тобой	2	2
61	что было	2	2
62	ты не	5	2
63	в жизни	3	2
64	во всяком	2	2
65	ни в	3	2
66	от него	2	2
67	одна из	2	2
68	это еще	4	2
69	на себя	5	2
70	они в	3	2
71	да и	2	2
72	хотя и	5	2
73	в ней	4	2
74	и потому	7	2
75	в котором	4	2
76	не имеет	3	2
77	не с	2	2
78	то это	3	2
79	и это	2	2
80	жизни и	3	2
81	нет ничего	3	2
82	над ними	2	2
83	так и	4	2
84	если не	3	2
85	и что	3	2
86	что не	4	2
87	и для	3	2
88	вот почему	2	2
89	в человека	2	2
90	и то	2	2
91	между тем	2	2
92	и новые	2	2
