N	2gram	Bakhtin_Pr_5	Myslijsy
1	потому что	8	52
2	то есть	16	42
3	и в	35	39
4	может быть	14	27
5	в том	5	26
6	только в	6	25
7	что в	6	22
8	не может	18	22
9	а не	4	21
10	так как	4	21
11	не только	10	21
12	в нем	16	20
13	но и	14	20
14	и не	27	18
15	том что	3	16
16	так что	5	16
17	не в	10	15
18	в этом	14	15
19	отношению к	7	13
20	так и	8	13
21	по отношению	6	13
22	в себе	5	13
23	таким образом	7	13
24	было бы	3	12
25	в душе	2	11
26	есть только	2	11
27	по себе	4	10
28	что не	4	10
29	то что	10	10
30	как в	5	10
31	и что	6	10
32	как и	18	9
33	мысли в	2	9
34	тем что	4	9
35	но в	19	9
36	в одном	6	8
37	но не	6	8
38	вместе с	2	8
39	того что	3	8
40	в слове	6	8
41	точки зрения	7	8
42	с другой	4	7
43	должно быть	3	7
44	в ней	2	7
45	с этим	3	7
46	это не	3	7
47	в этих	2	7
48	не менее	2	6
49	и как	2	6
50	еще не	7	6
51	что на	2	6
52	как бы	31	6
53	что и	3	6
54	все же	8	6
55	бы не	2	6
56	то же	15	6
57	при этом	2	6
58	и по	2	6
59	с тем	3	5
60	вовсе не	7	5
61	но это	6	5
62	то в	2	5
63	в его	21	5
64	в первом	2	5
65	другой стороны	3	5
66	во всех	3	5
67	так же	7	5
68	а в	7	5
69	и для	8	5
70	друг друга	2	5
71	и его	14	5
72	между тем	4	5
73	никогда не	4	4
74	однако в	2	4
75	вопрос о	2	4
76	этом смысле	3	4
77	прежде всего	12	4
78	мы видели	2	4
79	от него	6	4
80	же время	10	4
81	для него	14	4
82	слов и	3	4
83	к тому	6	4
84	увидим что	2	4
85	в каждом	6	4
86	и даже	5	4
87	а так	3	4
88	тому как	2	4
89	говорит он	4	4
90	во всем	4	4
91	в то	11	4
92	слова и	11	4
93	там где	7	4
94	бы в	4	4
95	с другим	13	3
96	что это	4	3
97	тому что	2	3
98	в них	4	3
99	столь же	2	3
100	и во	3	3
101	и от	3	3
102	и это	5	3
103	в жизни	2	3
104	что все	2	3
105	со словом	3	3
106	друг другу	4	3
107	самого начала	8	3
108	слова мы	2	3
109	с самого	8	3
110	в своем	2	3
111	мы увидим	2	3
112	только на	4	3
113	в своей	4	3
114	что сам	2	3
115	для себя	7	3
116	в мире	4	3
117	в самом	6	3
118	на него	5	3
119	и без	4	3
120	то ни	3	3
121	не мог	3	3
122	той же	2	3
123	с ним	7	3
124	и то	5	3
125	сказать что	3	3
126	во всяком	4	3
127	хотя и	2	3
128	он не	13	3
129	подобно тому	2	3
130	и вообще	2	3
131	с точки	2	3
132	мы должны	3	3
133	и все	15	3
134	а между	3	3
135	и с	12	3
136	но как	4	3
137	слова в	6	2
138	под влиянием	3	2
139	но на	4	2
140	нуждается в	3	2
141	но он	4	2
142	с этой	2	2
143	бы то	3	2
144	уже с	2	2
145	а как	2	2
146	к одному	3	2
147	как мы	8	2
148	ни было	3	2
149	уже не	3	2
150	переходим к	4	2
151	но все	4	2
152	за ним	2	2
153	и слова	2	2
154	мог бы	2	2
155	если б	3	2
156	в сущности	14	2
157	за пределы	3	2
158	словом и	3	2
159	к другим	2	2
160	к ней	2	2
161	в виду	3	2
162	чтобы не	2	2
163	оно должно	2	2
164	его с	5	2
165	с ее	3	2
166	но уже	2	2
167	в целом	3	2
168	слова не	2	2
169	но эти	2	2
170	из этого	2	2
171	что же	7	2
172	только что	3	2
173	для этого	2	2
174	времени и	2	2
175	и того	2	2
176	что оно	2	2
177	чего бы	2	2
178	на этот	2	2
179	или в	2	2
180	хотя бы	2	2
181	даже и	3	2
182	он есть	2	2
183	если и	2	2
184	в начале	3	2
185	что даже	2	2
186	как будто	4	2
187	его к	3	2
188	о том	2	2
189	и самое	2	2
190	так сказать	2	2
191	то все	2	2
192	в которой	2	2
193	он старается	4	2
194	бы они	2	2
195	мы можем	2	2
