N	2gram	Nazirov_Tv_1	Problemy
1	и не	7	31
2	и в	21	29
3	в его	13	24
4	может быть	5	24
5	а не	5	22
6	в этом	6	22
7	как бы	17	19
8	в нем	3	19
9	для него	6	18
10	у достоевского	28	16
11	не только	7	15
12	то что	8	15
13	но и	3	14
14	и его	6	14
15	то же	13	14
16	уже не	3	13
17	романа достоевского	3	12
18	достоевского не	6	12
19	как и	12	12
20	мир достоевского	2	12
21	достоевского в	12	12
22	не может	4	12
23	таким образом	5	12
24	в самом	3	10
25	из подполья	13	10
26	в то	15	10
27	только в	5	10
28	героя и	2	10
29	с его	11	9
30	это не	4	9
31	все же	5	9
32	в романе	10	9
33	но не	3	9
34	же время	12	9
35	в каждом	3	8
36	романов достоевского	3	8
37	в своем	4	8
38	до конца	2	8
39	что он	6	8
40	что в	12	8
41	творчества достоевского	4	8
42	в своей	4	8
43	потому что	5	8
44	в том	7	8
45	мире достоевского	3	7
46	прежде всего	4	7
47	вовсе не	5	7
48	а как	2	7
49	том что	11	7
50	не в	2	7
51	так и	2	7
52	достоевского и	3	7
53	и как	4	7
54	а в	6	7
55	и на	7	7
56	в себе	2	7
57	в романах	13	7
58	но в	7	7
59	все это	10	6
60	в одной	2	6
61	сливается с	3	6
62	достоевский в	3	6
63	в целом	4	6
64	одним из	4	6
65	был бы	2	6
66	самого достоевского	3	6
67	что она	2	6
68	как в	8	6
69	самом деле	2	6
70	в мире	4	6
71	так же	3	6
72	могут быть	2	6
73	так как	3	6
74	перед нами	2	5
75	именно в	2	5
76	романах достоевского	15	5
77	творчество достоевского	3	5
78	это и	3	5
79	у него	7	5
80	он не	8	5
81	мысли и	4	5
82	той же	3	5
83	на самом	3	5
84	в творчестве	6	5
85	для достоевского	4	5
86	творчестве достоевского	5	5
87	с ним	3	5
88	мира в	2	5
89	личности в	2	4
90	в литературе	2	4
91	что и	2	4
92	его как	2	4
93	но это	5	4
94	и с	3	4
95	даже в	3	4
96	и т	3	4
97	достоевского к	3	4
98	и наконец	2	4
99	в основе	2	4
100	в этой	5	4
101	человека в	6	4
102	так сказать	2	4
103	уже в	3	3
104	я не	3	3
105	он сам	6	3
106	в человеке	4	3
107	никогда не	3	3
108	с другой	3	3
109	в пространстве	2	3
110	героев в	2	3
111	достоевского с	8	3
112	одна из	2	3
113	достоевский не	4	3
114	герои достоевского	4	3
115	в духе	2	3
116	его романов	5	3
117	в их	3	3
118	во времени	3	3
119	не во	2	3
120	т п	2	3
121	в себя	2	3
122	приводит к	2	3
123	и у	2	3
124	по достоевскому	2	3
125	в своих	5	3
126	сказать что	2	3
127	героев и	3	3
128	время не	2	3
129	как к	2	3
130	не знает	2	3
131	как будто	5	3
132	далеко не	3	3
133	романного мира	3	3
134	в мир	2	3
135	самого начала	3	2
136	однако в	2	2
137	в настоящем	2	2
138	ибо в	2	2
139	хотя бы	5	2
140	и от	4	2
141	в жизни	2	2
142	своих героев	3	2
143	жизни и	3	2
144	так что	2	2
145	достоевского он	2	2
146	отсюда же	2	2
147	при этом	7	2
148	и человек	2	2
149	тот же	2	2
150	он ни	3	2
151	в котором	6	2
152	один из	4	2
153	в один	2	2
154	на его	3	2
155	в первой	2	2
156	данном случае	2	2
157	для автора	2	2
158	во всей	2	2
159	и даже	3	2
160	мира достоевского	5	2
161	записок из	3	2
162	пространстве а	2	2
163	тут и	3	2
164	здесь мы	2	2
165	в данном	2	2
166	себя как	2	2
167	в ней	2	2
168	но он	2	2
169	в россии	3	2
170	в которой	3	2
171	же и	2	2
172	нет ни	2	2
173	человека но	3	2
174	по преимуществу	2	2
