N	2gram	Bakhtin_Fr_7	Problema
1	и в	41	30
2	в своей	3	22
3	то есть	20	21
4	то что	8	18
5	не только	5	18
6	том что	4	17
7	в этом	15	17
8	но и	9	13
9	таким образом	19	13
10	потому что	5	13
11	в том	11	12
12	в его	12	12
13	и не	7	12
14	также и	2	12
15	о том	6	12
16	в своем	9	11
17	у него	6	11
18	точки зрения	5	10
19	в этой	13	10
20	на земле	4	9
21	но в	8	9
22	только в	6	9
23	и все	14	9
24	в конце	8	8
25	вовсе не	7	8
26	хотя и	4	8
27	с точки	3	8
28	никогда не	2	7
29	что он	3	7
30	как и	14	7
31	может быть	4	7
32	вместе с	5	7
33	на землю	2	7
34	так и	10	7
35	до нас	5	7
36	в связи	2	7
37	не в	9	7
38	в результате	2	7
39	прежде всего	11	6
40	уже не	2	6
41	и как	2	6
42	несмотря на	3	6
43	и для	5	6
44	как бы	7	6
45	конце концов	4	6
46	в нем	7	6
47	что и	5	6
48	а в	5	6
49	и его	9	6
50	и на	4	6
51	его в	3	6
52	так как	3	6
53	что в	9	5
54	что у	3	5
55	в которой	2	5
56	так же	5	5
57	и их	3	5
58	не может	3	5
59	не просто	2	5
60	в году	5	5
61	а не	2	5
62	и у	5	5
63	и то	2	5
64	но он	4	5
65	того как	5	5
66	и с	4	5
67	как о	3	4
68	нового времени	3	4
69	ни в	6	4
70	но все	4	4
71	при этом	3	4
72	того же	3	4
73	было бы	4	4
74	в качестве	9	4
75	за что	2	4
76	оказывается что	3	4
77	и к	5	4
78	не мог	2	4
79	или в	2	4
80	нас в	3	4
81	в себе	11	4
82	в то	10	4
83	далеко не	2	4
84	учение о	2	3
85	все время	2	3
86	именно в	2	3
87	и другие	3	3
88	еще более	2	3
89	в отношении	3	3
90	о котором	2	3
91	же в	2	3
92	нас не	2	3
93	тот же	2	3
94	совсем не	3	3
95	после того	4	3
96	еще не	2	3
97	и самого	2	3
98	он не	4	3
99	а также	2	3
100	того что	2	3
101	в эпоху	7	3
102	к нему	5	3
103	жизнь и	2	3
104	от этого	3	3
105	в ней	5	3
106	с ним	2	3
107	в одном	3	3
108	в виду	4	3
109	мира в	4	3
110	поэтому и	3	2
111	я не	3	2
112	на небе	2	2
113	по этому	3	2
114	в них	7	2
115	том числе	4	2
116	как в	5	2
117	это не	6	2
118	уже в	5	2
119	за то	3	2
120	к этому	5	2
121	к тому	2	2
122	то же	13	2
123	как мы	11	2
124	он был	3	2
125	по существу	8	2
126	из всех	2	2
127	и сама	2	2
128	в свою	3	2
129	кроме того	3	2
130	со всеми	2	2
131	в это	3	2
132	жизни и	3	2
133	в данном	2	2
134	мы имеем	2	2
135	в заключение	2	2
136	отношению к	2	2
137	проявляется в	3	2
138	из них	3	2
139	в первой	2	2
140	и до	6	2
141	все что	4	2
142	отношение к	2	2
143	по отношению	2	2
144	этот образ	2	2
145	дает ему	2	2
146	он хочет	6	2
147	все эти	13	2
148	с помощью	6	2
149	мы не	2	2
150	здесь как	2	2
151	в значительной	2	2
152	земли и	3	2
153	свидетельствует о	2	2
154	можно было	3	2
155	власти и	2	2
156	во всяком	2	2
157	тем что	3	2
158	в одной	2	2
159	дело в	2	2
160	есть в	6	2
161	мира и	4	2
162	в чем	2	2
163	в области	2	2
164	ничего не	4	2
