N	2gram	Losev_Vlad_3	OGranits
1	и в	40	13
2	и его	10	12
3	прежде всего	10	9
4	не может	14	8
5	и не	25	8
6	может быть	8	8
7	точки зрения	13	7
8	в его	14	7
9	таким образом	11	6
10	не только	25	6
11	то что	28	6
12	только в	13	6
13	мы должны	4	6
14	как бы	3	6
15	все же	4	5
16	с точки	6	5
17	и эта	3	5
18	хотя бы	6	5
19	и наконец	2	5
20	то же	4	4
21	не является	2	4
22	но мы	2	4
23	в своей	9	4
24	еще и	18	4
25	только и	5	4
26	мы не	2	4
27	было бы	4	4
28	вполне понятно	3	4
29	но в	4	4
30	что в	17	3
31	никогда не	11	3
32	но и	18	3
33	так и	6	3
34	что же	9	3
35	в их	2	3
36	не как	2	3
37	и все	4	3
38	в одном	5	3
39	да и	6	3
40	как и	7	3
41	не в	3	3
42	за пределы	3	3
43	в которой	2	3
44	и то	9	3
45	не столько	3	3
46	есть прежде	2	3
47	одно и	2	3
48	в себе	9	3
49	ничего общего	5	3
50	с этим	2	3
51	и для	3	3
52	общего с	2	3
53	так как	7	3
54	но для	3	3
55	еще в	5	2
56	и этот	2	2
57	не менее	9	2
58	для себя	5	2
59	уже в	3	2
60	с этой	2	2
61	и тем	3	2
62	в нем	3	2
63	ее в	3	2
64	в целом	2	2
65	данном случае	2	2
66	а не	8	2
67	что эта	2	2
68	в этот	2	2
69	в отношении	5	2
70	другой стороны	2	2
71	с другой	5	2
72	не на	2	2
73	в связи	3	2
74	собственно говоря	3	2
75	а в	7	2
76	с одной	3	2
77	в течение	4	2
78	все эти	5	2
79	вовсе не	13	2
80	роль в	2	2
81	в книге	2	2
82	есть не	2	2
83	к тому	7	2
84	и к	2	2
85	если бы	3	2
86	в чем	3	2
87	не имеет	4	2
88	в том	18	2
89	так же	8	2
90	не мог	6	2
91	том что	18	2
92	в своих	7	2
93	в данном	5	2
94	в этом	16	2
95	от этого	2	2
96	учение о	24	2
97	тем что	5	2
98	при этом	3	2
99	смысле слова	6	2
100	всей своей	2	2
101	для него	8	2
102	в другом	2	2
103	во всем	6	2
104	одной стороны	3	2
105	несмотря на	7	2
106	мы уже	5	2
107	нет ничего	2	2
108	в самом	4	2
109	мог бы	4	2
110	бы в	2	2
111	в ней	5	2
112	а также	8	2
