N	2gram	Vinokur_Ku_3	Psycholo
1	то что	4	32
2	и в	23	31
3	в том	22	30
4	и т	54	26
5	что в	13	23
6	может быть	14	22
7	таким образом	9	20
8	ясно что	4	19
9	при этом	6	19
10	совершенно ясно	2	19
11	так как	9	18
12	не может	6	17
13	как и	5	16
14	том что	11	16
15	и не	10	16
16	т п	41	16
17	точки зрения	23	15
18	только в	6	14
19	а не	11	13
20	не только	17	13
21	что и	6	13
22	так же	2	12
23	если мы	7	12
24	мы не	3	12
25	в этом	16	12
26	в самом	13	11
27	могут быть	6	11
28	не в	5	11
29	в области	14	11
30	в сущности	4	10
31	того что	11	10
32	потому что	12	10
33	по себе	6	9
34	ни в	3	9
35	как в	4	9
36	самом деле	14	9
37	вместе с	2	8
38	все это	2	8
39	т д	8	8
40	и что	7	8
41	во всяком	2	8
42	что мы	2	8
43	что он	6	7
44	том чтобы	4	7
45	только тогда	4	7
46	заключается в	4	7
47	того чтобы	11	7
48	тому как	2	7
49	сказать что	7	7
50	о том	6	7
51	что это	3	6
52	вовсе не	5	6
53	зависимости от	8	6
54	очевидно что	3	6
55	одной стороны	4	6
56	внутренняя форма	3	6
57	было бы	16	6
58	если бы	8	6
59	из этих	5	6
60	отнюдь не	3	6
61	целый ряд	4	6
62	а в	5	6
63	что она	5	6
64	для того	12	6
65	в его	11	6
66	и есть	5	5
67	формы и	3	5
68	тогда когда	4	5
69	в ее	4	5
70	все же	5	5
71	с одной	4	5
72	для нас	4	5
73	она не	3	5
74	совершенно не	5	5
75	в какой	3	5
76	как бы	5	5
77	был бы	3	5
78	в зависимости	7	5
79	в целом	4	5
80	в процессе	3	5
81	другой стороны	3	5
82	то же	6	5
83	с другой	7	5
84	иначе говоря	2	5
85	в то	3	5
86	к тому	3	4
87	в котором	2	4
88	в виду	8	4
89	прежде всего	9	4
90	тому что	4	4
91	столь же	4	4
92	как нельзя	2	4
93	отличие от	2	4
94	по существу	3	4
95	чтобы понять	2	4
96	и если	2	4
97	у нас	10	4
98	и о	4	4
99	никак не	2	4
100	точка зрения	4	4
101	один из	4	4
102	в этих	2	4
103	те же	7	4
104	с этой	3	4
105	в результате	3	4
106	этого слова	4	4
107	там где	3	4
108	между тем	4	4
109	как это	7	4
110	могло бы	3	4
111	мы имеем	2	4
112	уже в	3	3
113	не могут	5	3
114	как на	8	3
115	с тем	6	3
116	состоит в	2	3
117	в частности	2	3
118	в своем	4	3
119	по тому	2	3
120	точку зрения	2	3
121	что все	2	3
122	должна быть	3	3
123	вопрос о	11	3
124	а потому	2	3
125	и к	3	3
126	что на	3	3
127	точек зрения	2	3
128	тому же	3	3
129	это и	3	3
130	но это	5	3
131	в силу	6	3
132	но не	3	3
133	смысле слова	2	3
134	до сих	8	3
135	хотя и	5	3
136	в слове	4	3
137	он не	3	3
138	речь идет	3	3
139	но мы	2	3
140	сих пор	8	3
141	не есть	3	3
142	в своей	4	3
143	каждой из	2	3
144	собственном смысле	2	3
145	так и	6	3
146	в отличие	2	3
147	не было	4	3
148	от того	5	3
149	и вот	3	3
150	тем же	2	3
151	какой мере	2	3
152	той же	3	3
153	в таком	4	3
154	в которых	3	3
155	и только	3	3
156	внутренней формы	2	3
157	слова в	4	3
158	что эти	2	3
159	когда мы	3	3
160	но в	2	3
161	т е	32	3
162	в известном	2	2
163	быть совершенно	2	2
164	не менее	12	2
165	на вопрос	3	2
166	такой же	2	2
167	или иное	2	2
168	сама по	2	2
169	независимо от	5	2
170	главным образом	2	2
171	и как	2	2
172	себе представить	2	2
173	до тех	4	2
174	и без	2	2
175	том случае	4	2
176	не означает	2	2
177	имеет в	2	2
178	одного и	2	2
179	это в	2	2
180	и здесь	2	2
181	быть в	2	2
182	есть не	3	2
183	смысле этого	2	2
184	тем не	9	2
185	мы найдем	2	2
186	уже не	8	2
187	п все	2	2
188	только о	2	2
189	что они	2	2
190	более или	2	2
191	в качестве	2	2
192	того же	4	2
193	не дает	2	2
194	тот же	6	2
195	или иным	2	2
196	и тот	2	2
197	по поводу	3	2
198	о чем	2	2
199	что такое	4	2
200	во внимание	5	2
201	в область	2	2
202	далеко не	5	2
203	и тем	6	2
204	мы видели	3	2
205	отношение к	3	2
206	когда он	2	2
207	зрения на	3	2
208	но и	3	2
209	и дальше	2	2
210	или менее	2	2
211	что же	5	2
212	мысли и	2	2
213	как мы	5	2
214	только что	2	2
215	отличается от	2	2
216	как раз	4	2
217	то и	2	2
218	что есть	2	2
219	в связи	5	2
220	русском языке	3	2
221	на самом	3	2
222	что основная	2	2
223	тем самым	4	2
224	с точки	16	2
225	то или	2	2
226	увидим что	2	2
227	отметить что	3	2
228	в чем	5	2
229	ничего не	6	2
230	нас в	3	2
231	что различие	2	2
232	в русском	2	2
233	как к	2	2
234	как они	2	2
235	и с	3	2
236	в каком	3	2
237	как например	2	2
238	заключается не	2	2
239	бы и	3	2
240	но как	3	2
241	в поэзии	5	2
242	если же	2	2
243	его в	2	2
244	как он	2	2
245	этих слов	3	2
246	таком случае	2	2
247	тех же	4	2
248	только то	3	2
249	не то	2	2
250	в одном	2	2
251	различение между	2	2
