N	2gram	Losev_Prob_4	EvropaiE
1	и в	20	37
2	в отношении	4	32
3	в пределах	2	25
4	точки зрения	14	23
5	что в	3	21
6	не только	24	18
7	с точки	11	17
8	в то	4	16
9	хотя бы	7	15
10	то же	7	15
11	в своем	3	14
12	в качестве	10	14
13	но и	14	14
14	и не	28	14
15	но в	8	14
16	в этом	9	12
17	в том	20	11
18	в области	3	11
19	так и	10	10
20	отнюдь не	10	9
21	прежде всего	11	9
22	в смысле	5	9
23	не может	5	9
24	в себе	12	9
25	только в	23	9
26	так же	5	9
27	к тому	3	8
28	в ее	5	8
29	было бы	14	8
30	в своей	4	8
31	как и	6	7
32	по своему	6	7
33	нам кажется	2	7
34	между прочим	3	7
35	а также	6	7
36	с другой	7	7
37	также и	13	7
38	так как	5	7
39	вовсе не	21	6
40	том что	12	6
41	стороны и	2	6
42	может быть	9	6
43	для того	3	6
44	как бы	4	6
45	то что	15	6
46	во всех	4	6
47	того чтобы	2	6
48	и даже	9	6
49	и на	3	6
50	то есть	27	6
51	в частности	2	5
52	столь же	2	5
53	не в	13	5
54	но не	5	5
55	одной из	4	5
56	но если	6	5
57	как мы	3	5
58	в той	8	5
59	тем самым	4	5
60	и по	2	5
61	в виде	22	5
62	и потому	7	5
63	ни было	2	4
64	независимо от	3	4
65	в предыдущем	3	4
66	но даже	4	4
67	именно в	7	4
68	или иного	3	4
69	или иной	13	4
70	можно сказать	5	4
71	на путях	2	4
72	несмотря на	4	4
73	в самом	2	4
74	то в	2	4
75	в ней	7	4
76	к ней	2	4
77	той или	14	4
78	по себе	11	4
79	для нас	6	4
80	мы не	7	4
81	и притом	2	4
82	не имеет	4	4
83	сказать что	7	4
84	тем более	4	4
85	в каком	6	4
86	того или	3	4
87	как это	3	4
88	и к	3	3
89	с тем	4	3
90	уже и	3	3
91	можно ли	3	3
92	нельзя ли	2	3
93	жизни в	2	3
94	в них	5	3
95	вообще не	3	3
96	и от	6	3
97	этом смысле	3	3
98	мы можем	3	3
99	того же	2	3
100	в известном	2	3
101	из них	3	3
102	всяком случае	4	3
103	не является	10	3
104	и тем	7	3
105	что и	3	3
106	говорит о	2	3
107	не будет	2	3
108	бы и	3	3
109	как в	5	3
110	и только	4	3
111	она в	2	3
112	и для	4	3
113	и прежде	2	3
114	в таком	6	3
115	можно было	4	3
116	в результате	8	3
117	потому что	15	3
118	во всяком	8	3
119	тем что	3	3
120	ни на	3	3
121	себе в	3	3
122	в данном	6	3
123	во все	2	3
124	о том	5	3
125	дело в	2	3
126	и более	3	2
127	для них	2	2
128	а не	7	2
129	в этих	5	2
130	еще более	2	2
131	в какой	4	2
132	и во	4	2
133	с этим	4	2
134	и все	8	2
135	в одном	4	2
136	к нему	3	2
137	поскольку они	3	2
138	есть не	6	2
139	другой и	2	2
140	при условии	2	2
141	и можно	5	2
142	же в	4	2
143	как же	2	2
144	и как	3	2
145	это значит	10	2
146	есть в	7	2
147	но как	3	2
148	или вернее	2	2
149	или по	2	2
150	но именно	2	2
151	что это	2	2
152	кажется что	2	2
153	не говоря	3	2
154	и если	5	2
155	не к	2	2
156	по преимуществу	2	2
157	он не	2	2
158	в его	3	2
159	и этот	3	2
160	в котором	2	2
161	только к	3	2
162	говоря уже	2	2
163	не есть	12	2
164	при помощи	10	2
165	жизни и	5	2
166	вместе с	5	2
167	данном случае	5	2
168	что к	2	2
169	а в	4	2
170	таким образом	8	2
171	если бы	8	2
172	а именно	2	2
173	заключается в	2	2
174	и что	2	2
175	в значительной	2	2
176	и наконец	4	2
177	другой стороны	6	2
178	в других	2	2
179	с другими	3	2
180	или в	5	2
181	и с	7	2
182	хотя и	5	2
183	в этой	4	2
184	и то	2	2
185	в истории	3	2
186	как будто	11	2
187	мы должны	3	2
188	далеко не	2	2
189	между собой	2	2
190	которое в	2	2
191	но по	2	2
