N	3gram	Vygotskiy__3	Vvedenie
1	для того чтобы	7	20
2	о том что	3	12
3	в том что	17	12
4	тем не менее	5	8
5	не может быть	2	8
6	в этом смысле	2	8
7	к выводу что	2	6
8	с другой стороны	3	5
9	с одной стороны	5	4
10	можно было бы	5	4
11	по сравнению с	3	4
12	само по себе	2	4
13	в этом отношении	3	4
14	и в этом	2	4
15	во всяком случае	4	4
16	по отношению к	2	4
17	в том виде	2	3
18	с тем что	3	3
19	в собственном смысле	6	3
20	как мы видели	3	3
21	вместе с тем	10	3
22	в известном смысле	2	3
23	заключается в том	7	3
24	смысле этого слова	4	2
25	и той же	2	2
26	той или иной	2	2
27	имеет дело с	2	2
28	в связи с	5	2
29	состоит в том	3	2
30	как мы уже	2	2
31	одной и той	2	2
