N	2gram	Losev_Vesc_1	Russkaja
1	не может	17	22
2	и не	29	19
3	в том	8	17
4	в этом	4	17
5	и в	21	14
6	то что	27	13
7	таким образом	8	11
8	то же	6	11
9	точки зрения	5	11
10	но и	18	10
11	в то	3	10
12	том что	8	9
13	не только	36	9
14	в себе	14	9
15	с точки	3	9
16	может быть	16	9
17	во всяком	3	9
18	прежде всего	9	8
19	того чтобы	3	8
20	отнюдь не	5	7
21	к тому	3	7
22	и если	2	7
23	не будет	12	7
24	самом деле	4	7
25	в данном	5	7
26	мы должны	2	7
27	о том	6	7
28	и с	8	7
29	если бы	5	6
30	с тем	5	6
31	для него	4	6
32	для того	2	6
33	всяком случае	2	6
34	все это	5	6
35	в своем	6	6
36	и для	9	6
37	в россии	2	6
38	себя и	4	5
39	хотя бы	6	5
40	на то	4	5
41	было бы	14	5
42	в своей	5	5
43	никогда не	2	5
44	в нем	2	5
45	во всех	2	5
46	в последние	2	5
47	и только	3	5
48	по существу	2	5
49	а в	4	5
50	потому что	16	5
51	только в	14	5
52	но не	5	4
53	что в	9	4
54	то ни	4	4
55	тогда когда	5	4
56	как и	8	4
57	ли это	7	4
58	как бы	12	4
59	все же	4	4
60	себя в	10	4
61	бы то	4	4
62	жизни и	2	4
63	со стороны	5	4
64	от того	3	4
65	что же	8	4
66	не в	5	4
67	можно было	2	4
68	и то	10	4
69	в этой	3	4
70	в его	2	4
71	его в	2	4
72	так как	7	4
73	может не	2	3
74	что это	13	3
75	можно ли	7	3
76	в конце	2	3
77	что все	2	3
78	а следовательно	2	3
79	с нею	18	3
80	да и	3	3
81	и как	8	3
82	в другом	2	3
83	то в	4	3
84	что они	6	3
85	так чтобы	2	3
86	должно быть	6	3
87	еще не	8	3
88	в самом	9	3
89	мы говорили	2	3
90	той или	2	3
91	но если	8	3
92	и потому	5	3
93	и этот	2	3
94	для этого	4	3
95	то это	3	3
96	что и	3	3
97	не есть	49	3
98	и т	19	3
99	из них	4	3
100	данном случае	2	3
101	только к	2	3
102	что оно	8	3
103	сводится к	2	3
104	того что	8	3
105	или в	2	3
106	тем что	2	3
107	и во	3	3
108	себя от	2	3
109	говорить о	6	3
110	конце концов	2	3
111	она может	4	3
112	одна из	5	3
113	чтобы она	2	2
114	а с	3	2
115	сама по	3	2
116	нисколько не	4	2
117	должна быть	4	2
118	и есть	26	2
119	у него	2	2
120	но даже	3	2
121	его и	2	2
122	что только	3	2
123	и от	3	2
124	с этим	3	2
125	к себе	4	2
126	ясно что	8	2
127	по себе	13	2
128	бы ни	2	2
129	уже не	9	2
130	так что	5	2
131	она будет	2	2
132	это есть	7	2
133	но это	10	2
134	есть и	4	2
135	отличается от	7	2
136	она не	4	2
137	совершенно не	5	2
138	и о	3	2
139	по самому	3	2
140	но для	2	2
141	в ней	12	2
142	на это	4	2
143	но совершенно	2	2
144	в котором	3	2
145	для нее	2	2
146	для себя	5	2
147	и тем	3	2
148	для нас	2	2
149	но она	3	2
150	сделать это	2	2
151	даже не	7	2
152	– не	9	2
153	тому что	2	2
154	если не	3	2
155	все эти	3	2
156	не просто	19	2
157	и вот	2	2
158	только на	3	2
159	и что	15	2
160	а не	19	2
161	что такое	12	2
162	и даже	6	2
163	в результате	3	2
164	их в	3	2
165	в силу	3	2
166	мы можем	4	2
167	даже и	4	2
168	раз навсегда	2	2
169	с самим	4	2
170	мы уже	3	2
171	значило бы	4	2
172	ни от	5	2
173	только с	3	2
174	с ним	8	2
175	себя как	2	2
176	но в	5	2
