N	2gram	Losev_Dial_1	VerxiiNi
1	и в	18	26
2	в этом	12	15
3	точки зрения	17	13
4	как бы	11	12
5	в том	9	11
6	может быть	17	10
7	не только	13	10
8	и с	5	10
9	из этих	2	10
10	что в	13	9
11	но и	7	9
12	так как	11	9
13	с другой	6	8
14	но не	4	8
15	и не	30	8
16	и у	2	8
17	связанные с	2	7
18	том что	9	7
19	но все	3	7
20	одной стороны	2	7
21	из них	2	7
22	к нему	8	7
23	то что	13	7
24	в эпоху	2	7
25	а с	2	7
26	с одной	2	7
27	потому что	14	7
28	но в	6	7
29	в конце	4	6
30	к тому	4	6
31	и потому	3	6
32	несмотря на	10	6
33	всяком случае	2	6
34	что и	3	6
35	все же	5	6
36	так и	9	6
37	все это	11	6
38	в отношении	5	6
39	все эти	2	6
40	с точки	12	6
41	во всяком	4	6
42	в себе	11	6
43	мы должны	5	6
44	о том	4	6
45	крайней мере	4	5
46	тому же	2	5
47	отношение к	5	5
48	до сих	2	5
49	в его	3	5
50	никогда не	9	5
51	сих пор	2	5
52	или менее	3	5
53	так же	4	5
54	а не	14	5
55	для того	2	5
56	не имеет	15	5
57	и для	2	5
58	в мире	2	5
59	более или	3	5
60	по крайней	4	5
61	учение о	11	4
62	в этих	5	4
63	и от	2	4
64	что он	11	4
65	в нем	16	4
66	очень мало	2	4
67	в самом	3	4
68	в котором	4	4
69	не может	12	4
70	а в	5	4
71	то же	10	4
72	что оно	5	4
73	и что	12	4
74	и тогда	2	4
75	с другими	2	4
76	в которых	2	4
77	ничем не	3	4
78	в виде	2	4
79	он не	3	4
80	в то	6	4
81	только в	3	4
82	не менее	2	3
83	же как	2	3
84	что это	11	3
85	если бы	12	3
86	как о	2	3
87	хотя бы	6	3
88	точно так	2	3
89	к этому	2	3
90	ясно что	8	3
91	можно сказать	6	3
92	для него	2	3
93	так что	15	3
94	и как	7	3
95	и при	2	3
96	в своем	5	3
97	в качестве	2	3
98	случае не	3	3
99	и о	3	3
100	к ним	2	3
101	если в	3	3
102	к богу	3	3
103	с ней	2	3
104	но с	3	3
105	уже не	2	3
106	того что	2	3
107	и даже	13	3
108	всегда и	3	3
109	у них	3	3
110	с этой	2	3
111	конце концов	3	3
112	или иное	3	2
113	ни было	2	2
114	именно в	2	2
115	в них	3	2
116	сравнению с	2	2
117	не как	2	2
118	прежде всего	10	2
119	большею частью	2	2
120	утверждать что	3	2
121	на то	5	2
122	или иной	3	2
123	что именно	2	2
124	же время	4	2
125	ли это	3	2
126	явлений природы	2	2
127	еще не	2	2
128	и больше	2	2
129	и из	3	2
130	общего с	5	2
131	конечно не	3	2
132	вслед за	2	2
133	вплоть до	3	2
134	той или	7	2
135	но если	5	2
136	и является	2	2
137	один из	3	2
138	не с	5	2
139	жизни и	3	2
140	то или	3	2
141	к другу	2	2
142	быть и	4	2
143	только что	3	2
144	отличается от	2	2
145	для этого	2	2
146	иной раз	2	2
147	грань между	2	2
148	в разных	3	2
149	не было	6	2
150	этом отношении	2	2
151	мы имеем	2	2
152	можно только	2	2
153	этой точки	2	2
154	и сейчас	2	2
155	ко всему	2	2
156	его не	6	2
157	от бога	3	2
158	сказать что	10	2
159	не в	6	2
160	мы можем	4	2
161	по сравнению	2	2
162	ничего общего	4	2
163	или по	2	2
164	и все	3	2
165	и это	2	2
166	очень много	3	2
167	относится к	2	2
168	в виду	5	2
