N	2gram	Kanaev_Sov_1	Myshleni
1	точки зрения	12	26
2	таким образом	11	26
3	в том	4	24
4	и в	7	23
5	в целом	4	20
6	с точки	5	18
7	в этом	7	17
8	не только	4	16
9	что в	2	14
10	может быть	12	14
11	как и	6	14
12	в его	2	14
13	с помощью	4	13
14	не может	17	12
15	в развитии	4	12
16	как бы	4	11
17	прежде всего	5	10
18	и не	6	9
19	вместе с	4	9
20	самого начала	3	8
21	с самого	3	8
22	с одной	2	8
23	то же	3	8
24	вопрос о	4	7
25	в этой	3	7
26	в самом	2	7
27	так как	4	7
28	мы не	9	7
29	все это	3	6
30	с этим	2	6
31	мы можем	6	6
32	в себе	3	6
33	мы должны	4	5
34	и все	3	5
35	но в	3	5
36	между собой	3	5
37	и что	2	5
38	как мы	2	5
39	и т.д	3	5
40	что все	2	4
41	в свою	2	4
42	не в	3	4
43	при этом	3	4
44	друг с	2	4
45	что она	3	4
46	ее на	2	4
47	все эти	5	4
48	в результате	6	4
49	их в	4	4
50	в одном	3	4
51	и к	3	4
52	было бы	3	4
53	приводит к	2	4
54	мы видим	2	4
55	с другом	2	4
56	может не	3	3
57	уже в	3	3
58	что это	2	3
59	из этих	2	3
60	мы называем	3	3
61	в наших	3	3
62	свою очередь	2	3
63	и мы	3	3
64	в новых	2	3
65	значение в	2	3
66	то и	2	3
67	же самое	2	3
68	как он	3	3
69	всяком случае	2	3
70	этих двух	2	3
71	такой же	2	3
72	как известно	2	3
73	на две	3	3
74	все же	3	3
75	самом деле	2	3
76	а не	3	3
77	из которых	2	3
78	на этот	2	3
79	во всяком	2	3
80	он в	3	3
81	могут быть	2	3
82	в которой	2	3
83	в области	3	3
84	ничего не	6	3
85	в нашем	2	2
86	точку зрения	4	2
87	в конце	3	2
88	в зависимости	4	2
89	но все	2	2
90	на этом	2	2
91	мы видели	4	2
92	жизни и	4	2
93	той же	2	2
94	развития в	2	2
95	и наконец	5	2
96	и даже	2	2
97	а в	4	2
98	свою собственную	2	2
99	говорить о	2	2
100	в первом	3	2
101	системы в	4	2
102	каждого из	2	2
103	на их	2	2
104	он может	3	2
105	он должен	2	2
106	ясно что	3	2
107	зависимости от	4	2
108	со всеми	2	2
109	в один	2	2
110	и потому	3	2
111	если мы	4	2
112	уже не	2	2
113	и пр	2	2
114	можно назвать	2	2
115	в виде	2	2
