N	2gram	Tiupa_Lite_1	Marksizm
1	может быть	13	28
2	и в	8	19
3	как бы	7	19
4	и не	12	19
5	не может	5	18
6	точки зрения	6	17
7	то же	5	16
8	и его	4	16
9	в этом	12	15
10	таким образом	3	14
11	лишь в	4	14
12	в сущности	2	14
13	не только	24	13
14	с точки	2	13
15	связи с	6	13
16	в нем	2	11
17	не в	8	10
18	в пределах	3	10
19	но и	17	10
20	том что	14	10
21	так и	4	10
22	и т.п	4	10
23	для него	2	9
24	при этом	19	9
25	в основе	3	9
26	как и	6	9
27	на почве	2	9
28	самом деле	2	9
29	а не	16	9
30	отнюдь не	2	8
31	же время	5	8
32	не является	2	8
33	по отношению	3	8
34	в то	5	8
35	с его	5	8
36	отношению к	2	8
37	только в	8	8
38	никогда не	4	7
39	в связи	4	7
40	в том	16	7
41	его в	3	7
42	но в	3	7
43	прежде всего	11	7
44	одна из	3	7
45	к тому	2	6
46	в самом	3	6
47	между тем	2	6
48	хотя бы	2	6
49	или иной	2	5
50	в их	3	5
51	и того	2	5
52	того же	2	5
53	в его	7	5
54	все же	4	5
55	в данном	5	5
56	тем более	2	5
57	в душе	3	4
58	должна быть	2	4
59	это не	4	4
60	в формах	4	4
61	то что	10	4
62	и тем	4	4
63	того что	6	4
64	а как	2	4
65	как раз	4	4
66	что он	5	4
67	было бы	2	4
68	для себя	5	4
69	только на	2	4
70	тем же	3	4
71	в слове	2	4
72	в себе	7	4
73	столь же	4	3
74	с другой	3	3
75	для понимания	2	3
76	да и	3	3
77	в этой	4	3
78	одной стороны	2	3
79	за пределы	2	3
80	исходит из	3	3
81	а в	3	3
82	с одной	2	3
83	все эти	2	3
84	в другом	2	3
85	не было	3	3
86	о том	2	3
87	не как	4	3
88	в качестве	17	3
89	еще не	4	3
90	не к	2	3
91	относится к	2	3
92	не есть	2	3
93	в своей	4	3
94	в отличие	5	3
95	той же	3	3
96	и то	2	3
97	во всяком	3	3
98	могут быть	2	3
99	отличие от	5	3
100	уже в	5	2
101	что в	3	2
102	все более	2	2
103	этом как	3	2
104	тому же	2	2
105	одним из	5	2
106	и самого	2	2
107	всяком случае	2	2
108	жизни и	3	2
109	в своем	11	2
110	и даже	3	2
111	друг друга	4	2
112	он и	3	2
113	xix века	6	2
114	и является	2	2
115	то есть	6	2
116	у него	3	2
117	в жизни	6	2
118	различие между	2	2
119	но не	4	2
120	от своего	2	2
121	должен быть	2	2
122	себя в	6	2
123	приводит к	3	2
124	и прежде	3	2
125	не на	2	2
126	бы не	3	2
127	сводится к	3	2
128	здесь как	2	2
129	что не	2	2
130	тем что	2	2
131	далеко не	3	2
