N	2gram	Tiupa_Lite_2	Vladivir
1	и в	19	30
2	в году	5	24
3	то что	7	20
4	в этом	9	20
5	у него	2	19
6	в том	10	18
7	и не	11	18
8	и с	3	14
9	что он	3	13
10	в конце	2	13
11	том что	7	12
12	что в	4	12
13	не только	8	12
14	в его	4	11
15	а в	3	11
16	а также	2	10
17	и даже	8	10
18	не было	2	10
19	не в	4	9
20	для него	4	9
21	было бы	2	9
22	все же	2	9
23	потому что	2	9
24	не может	9	9
25	в то	9	9
26	вместе с	5	8
27	но и	10	8
28	но в	2	8
29	не менее	6	7
30	никогда не	3	7
31	точки зрения	4	7
32	до конца	2	7
33	может быть	17	7
34	для нас	2	7
35	а не	20	7
36	как это	2	7
37	то есть	5	7
38	прежде всего	4	6
39	и к	2	6
40	тем не	2	6
41	у нас	5	6
42	в себе	6	6
43	жизни и	4	6
44	а именно	3	6
45	и его	3	6
46	и то	3	5
47	как и	10	5
48	так что	4	5
49	то в	2	5
50	при этом	6	5
51	того же	4	5
52	тот же	2	5
53	как бы	2	5
54	для себя	2	5
55	так и	7	5
56	и что	2	5
57	того что	5	5
58	в результате	2	5
59	так как	3	5
60	с ним	2	5
61	с этой	2	4
62	я не	5	4
63	вовсе не	2	4
64	в этой	3	4
65	в целом	2	4
66	мы с	3	4
67	в ней	4	4
68	он не	5	4
69	в нем	3	4
70	крайней мере	2	4
71	со стороны	3	4
72	то же	12	4
73	ко всему	2	4
74	и наконец	2	4
75	и он	3	4
76	той же	2	4
77	и на	6	4
78	но это	3	4
79	в начале	3	4
80	о том	2	4
81	по крайней	2	4
82	уже в	2	3
83	в них	2	3
84	хотя бы	2	3
85	едва ли	4	3
86	же время	9	3
87	что и	2	3
88	по существу	3	3
89	и как	3	3
90	что я	2	3
91	но не	5	3
92	он и	2	3
93	в данном	3	3
94	и для	3	3
95	вплоть до	3	3
96	впрочем не	2	3
97	с точки	3	3
98	во всех	3	3
99	уже не	2	3
100	наконец в	2	3
101	не столько	3	3
102	даже и	2	3
103	под названием	2	3
104	я в	7	3
105	поскольку в	3	3
106	не говоря	2	3
107	в россии	2	3
108	в области	4	3
109	в русском	2	2
110	еще в	4	2
111	с тем	2	2
112	цели но	2	2
113	он на	2	2
114	однако в	6	2
115	со своей	2	2
116	жизни в	4	2
117	а за	2	2
118	мы сами	2	2
119	же в	2	2
120	друг друга	2	2
121	на первом	2	2
122	а к	2	2
123	в стихотворении	13	2
124	на этом	2	2
125	но тем	4	2
126	общего дела	4	2
127	и сам	2	2
128	себе и	3	2
129	такого рода	9	2
130	в сущности	3	2
131	не могу	2	2
132	нам представляется	2	2
133	в частности	4	2
134	том чтобы	3	2
135	не вполне	2	2
136	для того	2	2
137	в виду	2	2
138	даже в	4	2
139	говоря уже	2	2
140	но уже	2	2
141	себя в	6	2
142	и до	2	2
143	данном случае	3	2
144	в их	3	2
145	как к	3	2
146	как я	3	2
147	что не	2	2
148	в сравнении	2	2
149	то с	2	2
150	в своих	2	2
151	мысли и	2	2
152	как он	2	2
153	и жизни	3	2
154	уже о	2	2
155	к этой	2	2
156	ничего не	3	2
157	я и	4	2
158	мы не	4	2
