N	3gram	Vygotskiy__3	Problema
1	о том что	3	14
2	тем не менее	5	12
3	во всяком случае	4	10
4	то что мы	2	7
5	и то что	2	7
6	в этом смысле	2	5
7	с одной стороны	5	5
8	того или иного	2	5
9	с другой стороны	3	5
10	в связи с	5	5
11	между знаком и	2	5
12	на то что	3	4
13	только в том	2	4
14	в том что	17	4
15	на первый план	2	3
16	и в этом	2	3
17	не может быть	2	3
18	это значит что	4	3
19	с самого начала	6	2
20	для того чтобы	7	2
21	можно было бы	5	2
22	сами по себе	3	2
23	само по себе	2	2
24	и той же	2	2
25	та или иная	3	2
26	одной и той	2	2
27	заключается в том	7	2
