N	3gram	Vygotskiy__7	Stilisti
1	для того чтобы	18	7
2	с точки зрения	21	5
3	с самого начала	7	4
4	в свою очередь	2	4
5	то же самое	5	4
6	одно и то	3	4
7	и то же	3	4
8	прежде всего в	2	4
9	во внутренней речи	2	3
10	в той же	2	3
11	в этом случае	14	3
12	как мы видели	3	3
13	и тем самым	4	3
14	на самом деле	2	3
15	смысле этого слова	3	2
16	в этом отношении	3	2
17	к тому что	6	2
18	о том что	4	2
19	можно сказать что	3	2
20	только потому что	3	2
21	все больше и	2	2
22	слов и их	2	2
23	больше и больше	2	2
24	и тем же	2	2
25	вместе с тем	4	2
26	и той же	2	2
27	внутренней речи и	4	2
28	не может быть	4	2
29	одной и той	2	2
