N	2gram	Bakhtin_Pr_5	Hudozhes
1	том что	3	16
2	и в	35	14
3	так и	8	13
4	а не	4	12
5	в том	5	12
6	не только	10	12
7	при этом	2	12
8	о том	2	12
9	прежде всего	12	11
10	в этом	14	11
11	в себе	5	11
12	в рассказе	2	11
13	для него	14	10
14	в своей	4	10
15	у него	4	9
16	что он	24	9
17	как и	18	9
18	то же	15	9
19	как в	5	8
20	то что	10	8
21	же время	10	8
22	отношению к	7	8
23	по отношению	6	8
24	между тем	4	8
25	в то	11	8
26	в его	21	8
27	ничего не	3	8
28	это не	3	7
29	к тому	6	7
30	уже не	3	7
31	не в	10	7
32	еще не	7	7
33	своего рода	2	7
34	как бы	31	7
35	не может	18	7
36	а в	7	7
37	не случайно	2	7
38	никогда не	4	6
39	что в	6	6
40	было бы	3	6
41	рассказа в	10	6
42	не менее	2	5
43	с его	7	5
44	в этих	2	5
45	к себе	18	5
46	может быть	14	5
47	только в	6	5
48	и он	2	5
49	но и	14	5
50	самом деле	10	5
51	друг друга	2	5
52	и его	14	5
53	можно было	2	5
54	потому что	8	5
55	ни в	2	5
56	точки зрения	7	5
57	героя и	10	5
58	но в	19	5
59	тому что	2	4
60	в своем	2	4
61	столь же	2	4
62	к другому	16	4
63	та же	4	4
64	и от	3	4
65	и все	15	4
66	и к	12	4
67	то в	2	4
68	мы уже	8	4
69	в самом	6	4
70	он уже	3	4
71	в ней	2	4
72	себя в	2	4
73	из них	3	4
74	как раз	4	4
75	того что	3	4
76	только что	3	4
77	он не	13	4
78	по своей	2	4
79	как будто	4	4
80	в конце	5	4
81	и это	5	4
82	с ним	7	4
83	и с	12	4
84	но не	6	3
85	что у	6	3
86	но он	4	3
87	с этим	3	3
88	себе самому	18	3
89	это в	2	3
90	в мире	4	3
91	как мы	8	3
92	в ее	3	3
93	как его	3	3
94	говорить о	3	3
95	от него	6	3
96	на этом	2	3
97	по своему	4	3
98	из рассказа	3	3
99	в пределах	11	3
100	о нем	2	3
101	еще в	4	3
102	даже в	5	3
103	для себя	7	3
104	в нем	16	3
105	все же	8	3
106	приводит к	2	3
107	и для	8	3
108	все эти	3	3
109	она в	2	3
110	лишь в	7	3
111	и даже	5	3
112	с точки	2	3
113	и по	2	3
114	тем что	4	3
115	такой же	3	3
116	и на	6	3
117	как к	5	3
118	будто бы	2	3
119	его в	4	3
120	в творчестве	4	3
121	как все	2	2
122	себя и	8	2
123	однако в	2	2
124	так в	2	2
125	на вопрос	2	2
126	установкой на	3	2
127	и так	4	2
128	в одной	3	2
129	вопрос о	2	2
130	в такой	4	2
131	по себе	4	2
132	что на	2	2
133	к своему	5	2
134	мы знаем	2	2
135	да и	5	2
136	так что	5	2
137	в другом	12	2
138	и что	6	2
139	о своей	3	2
140	в целом	3	2
141	до конца	4	2
142	он говорил	4	2
143	одной из	2	2
144	раз в	2	2
145	со своим	2	2
146	себе и	7	2
147	например в	2	2
148	на его	4	2
149	только на	4	2
150	в начале	3	2
151	в произведениях	2	2
152	хотя и	2	2
153	для других	3	2
154	в него	3	2
155	про себя	2	2
156	как он	2	2
157	на него	5	2
158	в форме	3	2
159	что же	7	2
160	все это	14	2
161	особенно в	2	2
162	а с	3	2
163	не знает	6	2
164	все равно	2	2
165	и не	27	2
166	на самом	9	2
167	от себя	5	2
168	героя в	5	2
169	что не	4	2
170	в речи	2	2
171	должно быть	3	2
172	слово не	2	2
173	той же	2	2
174	с ними	5	2
175	с этой	2	2
176	пока еще	2	2
177	не о	4	2
178	и об	2	2
179	с ее	3	2
180	эти слова	3	2
181	характер и	2	2
182	героя на	2	2
183	внутренней жизни	2	2
184	что я	13	2
185	с другим	13	2
186	за ним	2	2
187	слова в	6	2
188	но как	4	2
189	так сказать	2	2
190	я и	2	2
