N	2gram	Ircho_Kome_1	Problema
1	и в	22	30
2	то что	2	18
3	н э	3	18
4	не только	10	18
5	том что	12	17
6	в этом	3	17
7	и даже	5	14
8	но и	11	13
9	таким образом	8	13
10	потому что	5	13
11	в том	11	12
12	в его	5	12
13	и не	8	12
14	о том	8	12
15	у него	3	11
16	в виде	3	10
17	точки зрения	4	10
18	в этой	7	10
19	все же	3	9
20	который в	2	9
21	но в	4	9
22	только в	3	9
23	и все	3	9
24	в конце	6	8
25	вовсе не	2	8
26	хотя и	3	8
27	что он	6	7
28	у нас	3	7
29	как и	9	7
30	но не	2	7
31	может быть	9	7
32	вместе с	2	7
33	на землю	3	7
34	так и	5	7
35	до нас	5	7
36	не в	6	7
37	в результате	4	7
38	с другой	5	6
39	прежде всего	5	6
40	и как	3	6
41	несмотря на	4	6
42	конце концов	4	6
43	в нем	4	6
44	что и	4	6
45	другой стороны	5	6
46	а в	6	6
47	и его	8	6
48	и на	3	6
49	его в	3	6
50	так как	4	6
51	не менее	3	5
52	что в	6	5
53	что у	2	5
54	в которой	6	5
55	будто бы	2	5
56	v в	13	5
57	тем не	2	5
58	в силу	2	5
59	так же	3	5
60	в самом	2	5
61	и о	3	5
62	еще в	5	5
63	для себя	2	5
64	до н	2	5
65	не может	2	5
66	в году	3	5
67	и у	3	5
68	и притом	2	5
69	но он	2	5
70	как раз	3	5
71	того как	3	5
72	и с	3	5
73	мы можем	4	5
74	еще и	2	4
75	в частности	3	4
76	нового времени	5	4
77	ни в	6	4
78	ясно что	4	4
79	при этом	5	4
80	того же	2	4
81	было бы	2	4
82	и сам	3	4
83	в качестве	4	4
84	к людям	2	4
85	iv в	5	4
86	в период	2	4
87	не мог	3	4
88	или в	2	4
89	нас в	2	4
90	в трагедии	2	4
91	в себе	2	4
92	в то	10	4
93	схолиаста к	3	4
94	едва ли	7	4
95	в противоположность	2	3
96	для них	2	3
97	именно в	4	3
98	однако в	3	3
99	в отношении	6	3
100	и людей	2	3
101	же в	4	3
102	в начале	3	3
103	что они	4	3
104	тот же	3	3
105	совсем не	2	3
106	то время	5	3
107	указывает на	2	3
108	как будто	2	3
109	после того	3	3
110	еще не	2	3
111	одной стороны	3	3
112	новое время	3	3
113	и самого	2	3
114	он не	3	3
115	в новое	2	3
116	а также	4	3
117	и тем	2	3
118	в до	2	3
119	эсхила и	4	3
120	с одной	3	3
121	к нему	2	3
122	в других	2	3
123	время как	4	3
124	что касается	2	3
125	в другом	4	3
126	в одном	8	3
127	и без	2	2
128	в них	3	2
129	как в	5	2
130	уже в	5	2
131	один из	5	2
132	к этому	4	2
133	здесь в	3	2
134	на то	3	2
135	от них	2	2
136	к тому	6	2
137	то же	6	2
138	как мы	4	2
139	он был	2	2
140	да и	3	2
141	раз в	2	2
142	ли не	4	2
143	из всех	2	2
144	участие в	4	2
145	в свою	2	2
146	до сих	2	2
147	по поводу	4	2
148	на его	5	2
149	такого рода	6	2
150	вслед за	2	2
151	всяком случае	2	2
152	в котором	4	2
153	отношению к	3	2
154	бы то	2	2
155	не к	2	2
156	в древности	2	2
157	из них	10	2
158	в первой	2	2
159	на него	4	2
160	наряду с	2	2
161	ее в	2	2
162	все что	2	2
163	отношение к	3	2
164	при всем	2	2
165	по отношению	3	2
166	то и	2	2
167	то ни	2	2
168	мы не	3	2
169	именно на	2	2
170	во всяком	2	2
171	между тем	5	2
172	тем что	4	2
173	это время	2	2
174	по своей	2	2
175	тем как	2	2
176	в чем	3	2
177	в области	2	2
178	ничего не	3	2
179	сих пор	2	2
