N	2gram	Savitsky_P_1	Dialekti
1	т е	3	46
2	и не	12	30
3	и есть	2	19
4	а не	2	18
5	может быть	5	17
6	и т	3	17
7	то что	4	16
8	и в	14	15
9	как бы	4	14
10	точки зрения	3	14
11	того что	2	13
12	по себе	4	13
13	это не	3	12
14	прежде всего	3	11
15	и вот	2	11
16	в том	9	11
17	не может	4	11
18	говорить о	2	11
19	в этом	10	11
20	она есть	3	10
21	потому что	3	10
22	том что	4	10
23	было бы	6	9
24	все это	2	9
25	мы не	3	9
26	то же	9	9
27	и пр	5	9
28	с точки	3	9
29	не в	5	8
30	в себе	3	8
31	и о	5	8
32	не только	17	8
33	и это	2	8
34	что в	4	7
35	и мы	2	7
36	что мы	3	7
37	только в	7	7
38	же время	7	6
39	хотя и	3	6
40	и тем	2	6
41	если бы	4	6
42	тем более	2	6
43	в то	7	6
44	в своем	4	5
45	в ней	6	5
46	в сфере	2	5
47	в нем	3	5
48	именно в	2	5
49	в жизни	2	5
50	есть не	2	5
51	в смысле	6	5
52	для того	3	5
53	и как	3	4
54	есть в	2	4
55	но и	6	4
56	с ними	3	4
57	и с	2	4
58	не о	2	4
59	мы должны	4	4
60	с тем	3	4
61	отнюдь не	2	4
62	как раз	2	4
63	хотя бы	8	4
64	в силу	2	4
65	в его	2	4
66	тем самым	3	3
67	и если	4	3
68	отношения к	2	3
69	с этим	2	3
70	но в	9	3
71	и потому	4	3
72	со стороны	2	3
73	в сравнении	3	3
74	в виде	2	3
75	могут быть	3	3
76	в области	11	3
77	не менее	2	2
78	в частности	2	2
79	и без	3	2
80	в отношении	10	2
81	главным образом	2	2
82	да и	2	2
83	заключается в	3	2
84	в котором	4	2
85	осуществляется в	2	2
86	из них	2	2
87	одних и	2	2
88	есть нечто	2	2
89	не было	2	2
90	по характеру	2	2
91	должно быть	2	2
92	в них	2	2
93	но о	2	2
94	где бы	2	2
95	думать что	2	2
96	в ее	2	2
97	в качестве	9	2
98	не нужно	2	2
99	бы ни	2	2
100	никак не	2	2
101	по сравнению	2	2
102	во всех	2	2
103	во всей	2	2
104	реальность и	2	2
105	сравнении с	3	2
106	отношении к	5	2
107	может и	2	2
