N	2gram	Vinokur_Ku_3	Myslijsy
1	потому что	12	52
2	и в	23	39
3	в языке	7	33
4	может быть	14	27
5	в том	22	26
6	только в	6	25
7	что в	13	22
8	не может	6	22
9	а не	11	21
10	так как	9	21
11	не только	17	21
12	но и	3	20
13	и не	10	18
14	язык есть	4	17
15	языка и	2	17
16	том что	11	16
17	не в	5	15
18	в этом	16	15
19	если бы	8	14
20	отношению к	2	13
21	так и	6	13
22	по отношению	3	13
23	таким образом	9	13
24	было бы	16	12
25	мы не	3	10
26	по себе	6	10
27	а потому	2	10
28	что не	4	10
29	не есть	3	10
30	то что	4	10
31	как в	4	10
32	и что	7	10
33	могут быть	6	9
34	для нас	4	9
35	как и	5	9
36	мысли и	2	9
37	тем что	5	9
38	тогда когда	4	9
39	но в	2	9
40	в одном	2	8
41	но не	3	8
42	вместе с	2	8
43	того что	11	8
44	в слове	4	8
45	точки зрения	23	8
46	себе представить	2	7
47	с другой	7	7
48	должно быть	7	7
49	в ней	3	7
50	это не	3	7
51	то и	2	7
52	в этих	2	7
53	не менее	12	6
54	независимо от	5	6
55	тем не	9	6
56	и как	2	6
57	еще не	9	6
58	что на	3	6
59	как бы	5	6
60	что и	6	6
61	все же	5	6
62	и т	54	6
63	бы не	3	6
64	то же	6	6
65	при этом	6	6
66	языка в	6	6
67	в каком	3	6
68	того как	7	6
69	с тем	6	5
70	язык не	2	5
71	вовсе не	5	5
72	языка как	4	5
73	но это	5	5
74	то в	3	5
75	только тогда	4	5
76	в его	11	5
77	то это	3	5
78	в первом	5	5
79	другой стороны	3	5
80	так же	2	5
81	а в	5	5
82	не имеет	3	5
83	в таком	4	5
84	между тем	4	5
85	если же	2	5
86	язык и	2	5
87	не могут	5	4
88	однако в	2	4
89	тем самым	4	4
90	от языка	2	4
91	вопрос о	11	4
92	прежде всего	9	4
93	не более	2	4
94	мы видели	3	4
95	слов и	5	4
96	к тому	3	4
97	от того	5	4
98	увидим что	2	4
99	не по	3	4
100	т п	41	4
101	т д	8	4
102	не было	4	4
103	быть не	2	4
104	тому как	2	4
105	из этих	5	4
106	в то	3	4
107	что мы	2	4
108	слова и	7	4
109	там где	3	4
110	только для	2	3
111	сама по	2	3
112	что это	3	3
113	тому что	4	3
114	столь же	4	3
115	что слово	3	3
116	что все	2	3
117	когда в	2	3
118	в своем	4	3
119	очевидно что	3	3
120	того же	4	3
121	если мы	7	3
122	она не	3	3
123	одной стороны	4	3
124	по поводу	3	3
125	в своей	4	3
126	что сам	3	3
127	что если	2	3
128	относится к	2	3
129	для того	12	3
130	и тем	6	3
131	связи с	6	3
132	в самом	13	3
133	были бы	4	3
134	на него	3	3
135	и без	2	3
136	что как	3	3
137	с одной	4	3
138	заключается в	4	3
139	не так	3	3
140	о языке	6	3
141	как на	8	3
142	той же	3	3
143	должна быть	3	3
144	языка но	3	3
145	во внимание	5	3
146	вопрос об	2	3
147	сказать что	7	3
148	во всяком	2	3
149	хотя и	5	3
150	он не	3	3
151	отношений между	2	3
152	и при	2	3
153	с точки	16	3
154	мы должны	3	3
155	могло бы	3	3
156	то не	2	3
157	она может	2	3
158	и с	3	3
159	но как	3	3
160	слова в	4	2
161	но на	3	2
162	и более	3	2
163	от нас	2	2
164	и есть	5	2
165	все они	2	2
166	с этой	3	2
167	одного и	2	2
168	мы называем	2	2
169	как например	2	2
170	что именно	3	2
171	но если	3	2
172	как мы	5	2
173	уже не	8	2
174	у нас	10	2
175	вопросом о	4	2
176	но все	2	2
177	есть не	3	2
178	чем в	2	2
179	этого языка	3	2
180	только то	3	2
181	того чтобы	11	2
182	мог бы	2	2
183	в сущности	4	2
184	между прочим	8	2
185	за пределы	2	2
186	вопроса о	3	2
187	и о	4	2
188	и если	2	2
189	никак не	2	2
190	в виду	8	2
191	чтобы не	2	2
192	не все	2	2
193	в целом	4	2
194	но язык	2	2
195	что же	5	2
196	в их	6	2
197	только что	2	2
198	тем более	5	2
199	для этого	6	2
200	связь между	3	2
201	и вопрос	2	2
202	и только	3	2
203	при котором	2	2
204	и того	2	2
205	еще более	2	2
206	этот вопрос	3	2
207	из того	2	2
208	перейти к	2	2
209	на этот	2	2
210	тем же	2	2
211	к языку	4	2
212	хотя бы	9	2
213	и должно	5	2
214	в таких	2	2
215	то он	3	2
216	если и	2	2
217	о том	6	2
218	таком случае	2	2
219	так сказать	2	2
220	когда мы	3	2
221	само собою	2	2
222	не потому	3	2
223	то мы	3	2
224	к новым	2	2
