N	2gram	Tiupa_Anal_3	Problemy
1	и в	18	34
2	и не	12	29
3	как бы	10	27
4	что он	4	23
5	в его	7	22
6	может быть	9	19
7	в нем	2	19
8	не может	2	19
9	и все	2	19
10	о себе	2	18
11	как и	14	18
12	себе самому	2	18
13	но в	2	16
14	все это	3	16
15	и его	13	16
16	в этом	14	16
17	прежде всего	5	15
18	он не	6	15
19	то же	3	14
20	с самим	2	14
21	самом деле	2	13
22	для него	6	13
23	но и	13	12
24	же время	3	12
25	и к	4	12
26	в то	3	12
27	в сущности	5	11
28	то что	2	11
29	не только	22	10
30	не в	6	9
31	а не	9	9
32	героя и	4	9
33	никогда не	5	8
34	в самом	5	8
35	точки зрения	3	8
36	и для	2	8
37	что в	9	7
38	и даже	8	7
39	этого слова	2	7
40	все же	4	7
41	что не	3	7
42	там где	2	7
43	что они	3	6
44	в пределах	4	6
45	и на	4	6
46	с его	8	6
47	отношению к	7	6
48	так и	14	6
49	в себе	2	6
50	только в	2	6
51	это не	2	5
52	и от	2	5
53	в конце	5	5
54	к тому	6	5
55	и сам	4	5
56	всяком случае	2	5
57	в целом	3	5
58	по отношению	7	5
59	таким образом	4	5
60	и вот	2	5
61	не мог	2	5
62	лишь в	5	5
63	а в	10	5
64	он и	3	5
65	с тем	2	5
66	в одном	4	5
67	даже в	2	5
68	что и	5	5
69	в слове	5	5
70	во всяком	2	5
71	с другой	7	4
72	да и	2	4
73	при этом	11	4
74	на его	2	4
75	в общем	2	4
76	как к	2	4
77	все эти	2	4
78	но как	3	4
79	в начале	6	4
80	его в	3	4
81	как раз	7	4
82	но не	7	4
83	еще не	6	4
84	бы и	2	4
85	как в	3	4
86	и прежде	2	4
87	в мире	5	4
88	с точки	2	4
89	тем что	2	4
90	на меня	2	4
91	я в	5	4
92	ничего не	3	4
93	вместе с	2	4
94	не менее	4	3
95	уже в	3	3
96	в каждом	3	3
97	в том	9	3
98	его за	2	3
99	в глаза	2	3
100	хотя и	2	3
101	которого он	2	3
102	с ее	3	3
103	другой стороны	5	3
104	в ней	2	3
105	нуждается в	2	3
106	говорить о	3	3
107	во всем	3	3
108	не как	2	3
109	по крайней	4	3
110	по себе	4	3
111	в ее	3	3
112	том что	12	3
113	по своему	2	3
114	между тем	5	3
115	крайней мере	4	3
116	сводится к	2	3
117	и как	4	3
118	без исключения	3	3
119	далеко не	4	3
120	не было	3	2
121	сама по	2	2
122	столь же	4	2
123	или иной	5	2
124	тем не	2	2
125	о своей	2	2
126	в большинстве	2	2
127	например в	2	2
128	не является	5	2
129	один из	2	2
130	в форме	2	2
131	в своем	4	2
132	не для	2	2
133	те же	2	2
134	с этим	3	2
135	той или	3	2
136	о том	6	2
137	сказать что	2	2
138	я и	3	2
139	к третьему	2	2
140	отнюдь не	4	2
141	однако в	5	2
142	были бы	3	2
143	в них	2	2
144	здесь и	3	2
145	в жизни	2	2
146	не с	2	2
147	говорит о	2	2
148	и того	3	2
149	это и	2	2
150	то в	2	2
151	того же	5	2
152	слове о	2	2
153	было бы	3	2
154	со всеми	2	2
155	во всех	2	2
156	и потому	2	2
157	лишь на	3	2
158	своего рода	8	2
159	когда он	2	2
160	так в	3	2
161	в отличие	2	2
162	входит в	2	2
163	тому же	3	2
164	жизнь и	3	2
165	но с	2	2
166	в той	2	2
167	уже не	5	2
168	и он	2	2
169	той же	5	2
170	и без	3	2
171	тому как	2	2
172	пока еще	3	2
173	вступает в	3	2
174	подобно тому	3	2
175	и ее	2	2
176	так сказать	2	2
177	отличие от	2	2
178	о чем	4	2
