N	2gram	Nazirov_Vr_1	Myslijsy
1	для нас	4	31
2	и в	8	24
3	может быть	4	23
4	то что	7	20
5	и не	5	19
6	в том	3	18
7	что в	7	16
8	не только	9	15
9	при этом	4	13
10	не может	2	12
11	то же	5	12
12	вместе с	2	11
13	таким образом	2	11
14	для него	2	10
15	в себе	2	10
16	тогда как	2	10
17	в нем	6	9
18	как бы	4	9
19	но и	7	9
20	а в	2	8
21	том что	3	8
22	в этом	8	8
23	как и	6	7
24	тем что	3	7
25	в чем	3	7
26	связи с	3	6
27	и как	3	6
28	в свою	2	6
29	не было	5	6
30	между тем	5	6
31	в то	5	6
32	уже в	4	5
33	и уже	3	5
34	не менее	2	5
35	столь же	2	5
36	с ним	4	5
37	же в	2	5
38	на то	3	5
39	о том	4	5
40	в них	2	5
41	из них	2	5
42	все же	6	5
43	место в	2	4
44	во время	2	4
45	никогда не	2	4
46	что он	4	4
47	уже не	2	4
48	одна из	2	4
49	еще не	2	4
50	в котором	6	4
51	так в	2	4
52	и что	8	4
53	но в	6	4
54	это не	4	3
55	и все	7	3
56	о которой	2	3
57	но это	2	3
58	в ней	4	3
59	и во	3	3
60	его в	3	3
61	человека в	3	3
62	и у	3	3
63	рядом с	2	3
64	и то	2	3
65	далеко не	3	3
66	в эту	2	3
67	время и	2	2
68	и его	3	2
69	что у	3	2
70	но он	3	2
71	и это	2	2
72	с нею	2	2
73	к этому	3	2
74	с его	3	2
75	мы знаем	2	2
76	так же	4	2
77	у него	5	2
78	же время	5	2
79	в нашей	2	2
80	его на	2	2
81	в его	3	2
82	его с	2	2
83	все это	4	2
84	что есть	3	2
85	в связи	3	2
86	а с	2	2
87	отношения к	2	2
88	их в	2	2
89	от сознания	2	2
