N	2gram	Ircho_Kome_3	OGranits
1	и в	22	13
2	и его	6	12
3	прежде всего	5	9
4	не может	3	8
5	и не	21	8
6	может быть	6	8
7	точки зрения	4	7
8	в его	8	7
9	таким образом	12	6
10	не только	5	6
11	то что	4	6
12	как бы	3	6
13	все же	4	5
14	с точки	3	5
15	хотя бы	4	5
16	то же	7	4
17	не является	4	4
18	тех пор	3	4
19	в своей	5	4
20	до тех	3	4
21	все это	5	4
22	в двух	3	4
23	мы не	2	4
24	мы можем	3	4
25	было бы	3	4
26	но в	5	4
27	отношению к	3	3
28	что в	5	3
29	никогда не	3	3
30	но и	4	3
31	так и	4	3
32	в их	2	3
33	по отношению	5	3
34	не как	2	3
35	и все	2	3
36	в одном	2	3
37	самом деле	6	3
38	в ее	3	3
39	как и	3	3
40	не в	4	3
41	за пределы	2	3
42	в которой	3	3
43	в пределах	2	3
44	г в	2	3
45	в себе	4	3
46	говорить о	3	3
47	с этим	3	3
48	и для	4	3
49	так как	11	3
50	не менее	5	2
51	уже в	2	2
52	с этой	3	2
53	а как	2	2
54	самого начала	4	2
55	в нем	3	2
56	в целом	3	2
57	а не	4	2
58	что эта	2	2
59	в отношении	4	2
60	другой стороны	2	2
61	с другой	4	2
62	в них	3	2
63	в связи	4	2
64	а в	7	2
65	с одной	3	2
66	в течение	3	2
67	вовсе не	4	2
68	роль в	2	2
69	разумеется что	2	2
70	с самого	4	2
71	к тому	6	2
72	и к	3	2
73	как в	2	2
74	если бы	8	2
75	не имеет	3	2
76	в г	2	2
77	в том	12	2
78	так же	4	2
79	не мог	2	2
80	том что	13	2
81	с помощью	4	2
82	в своих	2	2
83	что они	2	2
84	в этом	8	2
85	тем что	5	2
86	между тем	2	2
87	при этом	7	2
88	нуждается в	2	2
89	и ее	2	2
90	в другом	2	2
91	тот же	2	2
92	одной стороны	3	2
93	несмотря на	4	2
94	его на	2	2
95	в области	2	2
96	нет ничего	2	2
97	в самом	9	2
98	бы в	4	2
99	в ней	4	2
100	а также	2	2
