N	2gram	Bakhtin_KF_1	Istorich
1	и в	24	26
2	то что	7	16
3	не только	5	15
4	что в	4	14
5	может быть	45	14
6	но и	9	12
7	и пр	3	11
8	что он	2	10
9	так и	2	10
10	и его	17	10
11	что и	7	9
12	все же	5	9
13	и не	26	9
14	его в	5	9
15	то же	5	8
16	а в	4	8
17	как и	5	7
18	в качестве	2	7
19	он не	6	7
20	как в	2	7
21	в этом	14	7
22	мы имеем	5	7
23	еще не	4	6
24	не может	27	6
25	а не	17	6
26	к нему	12	6
27	и то	2	6
28	потому что	2	6
29	могут быть	3	6
30	и как	2	5
31	это не	10	5
32	в одном	4	5
33	к этому	2	5
34	это и	2	5
35	но все	5	5
36	но не	12	5
37	и только	6	5
38	на нем	2	5
39	ничего не	3	5
40	в его	40	5
41	из которых	2	5
42	уже не	7	5
43	не в	12	5
44	с ними	3	5
45	тем что	3	5
46	и здесь	7	5
47	в другом	3	5
48	но в	5	5
49	вовсе не	7	4
50	вопрос о	2	4
51	а по	2	4
52	в своей	10	4
53	здесь не	3	4
54	но эта	5	4
55	его на	2	4
56	что этот	3	4
57	о том	3	4
58	к себе	2	3
59	меня не	3	3
60	для нас	4	3
61	в том	6	3
62	том что	4	3
63	и других	2	3
64	его к	2	3
65	но это	6	3
66	во всем	7	3
67	при этом	4	3
68	как бы	9	3
69	все эти	10	3
70	не имеет	5	3
71	в данном	2	3
72	на волю	2	3
73	только в	16	3
74	что эта	2	3
75	там где	5	3
76	и действительно	6	3
77	с тем	2	2
78	должна быть	4	2
79	не менее	3	2
80	и есть	9	2
81	это уже	2	2
82	никогда не	5	2
83	со мной	4	2
84	он может	2	2
85	его и	2	2
86	в своем	16	2
87	и все	7	2
88	а как	2	2
89	в некотором	3	2
90	по себе	2	2
91	этих предметов	2	2
92	и тем	3	2
93	тем не	2	2
94	его как	5	2
95	ни в	12	2
96	этот момент	6	2
97	что я	5	2
98	от него	3	2
99	не дает	3	2
100	было бы	8	2
101	но есть	2	2
102	которой он	2	2
103	если бы	8	2
104	конечно не	7	2
105	знает и	2	2
106	ему в	2	2
107	к ним	4	2
108	но для	2	2
109	в современной	3	2
110	хотя бы	4	2
111	только это	2	2
112	в нем	28	2
113	не есть	20	2
114	себя в	8	2
115	в целом	10	2
116	отношение к	5	2
117	не по	4	2
118	дело не	2	2
119	от того	3	2
120	и их	6	2
121	все это	10	2
122	что это	3	2
123	что есть	2	2
124	и за	2	2
125	здесь мы	4	2
126	лишь в	8	2
127	мы здесь	2	2
128	того что	3	2
129	только с	3	2
130	случае мы	2	2
131	меня и	3	2
132	и на	3	2
133	в виде	2	2
134	имеем в	2	2
135	его с	2	2
136	в себе	21	2
137	этот факт	2	2
138	в этой	2	2
139	этого слова	2	2
140	и этим	3	2
141	в области	2	2
142	могло бы	4	2
